,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0,0.6893167792192311,2023-04-08 13:11:35.114237,2023-04-08 13:11:35.192129,0 days 00:00:00.077892,2.706678190294549,67,10,11,96,random,COMPLETE
1,1,0.6364180609595693,2023-04-08 13:11:35.194151,2023-04-08 13:11:35.268519,0 days 00:00:00.074368,3.4745953662970326,99,4,91,82,best,COMPLETE
2,2,0.629427137639772,2023-04-08 13:11:35.270516,2023-04-08 13:11:35.369522,0 days 00:00:00.099006,11.94413993843316,50,85,73,99,best,COMPLETE
3,3,0.6841216603606914,2023-04-08 13:11:35.371020,2023-04-08 13:11:35.456456,0 days 00:00:00.085436,2.3161901333798554,13,33,76,38,best,COMPLETE
4,4,0.49936044291714393,2023-04-08 13:11:35.457950,2023-04-08 13:11:35.527812,0 days 00:00:00.069862,12.081568207188115,72,7,100,11,random,COMPLETE
5,5,0.6037913962766057,2023-04-08 13:11:35.528804,2023-04-08 13:11:35.629304,0 days 00:00:00.100500,18.2425581381501,93,79,83,100,random,COMPLETE
6,6,0.6084401318014787,2023-04-08 13:11:35.630812,2023-04-08 13:11:35.734830,0 days 00:00:00.104018,15.160110962659768,96,49,78,12,best,COMPLETE
7,7,0.6671041777686284,2023-04-08 13:11:35.736338,2023-04-08 13:11:35.828800,0 days 00:00:00.092462,9.457862704431808,3,67,97,11,best,COMPLETE
8,8,0.6470933049543008,2023-04-08 13:11:35.830307,2023-04-08 13:11:35.935846,0 days 00:00:00.105539,1.3347775472240668,22,78,58,6,best,COMPLETE
9,9,0.5940417832564139,2023-04-08 13:11:35.937968,2023-04-08 13:11:36.023288,0 days 00:00:00.085320,9.885421491352295,75,2,13,71,random,COMPLETE
10,10,0.6541593889648794,2023-04-08 13:11:36.024793,2023-04-08 13:11:36.144373,0 days 00:00:00.119580,5.8020887439058155,42,29,1,51,random,COMPLETE
11,11,0.6530032215733532,2023-04-08 13:11:36.146396,2023-04-08 13:11:36.261960,0 days 00:00:00.115564,1.4451611106347806,30,30,32,36,random,COMPLETE
12,12,0.6712751535840666,2023-04-08 13:11:36.263466,2023-04-08 13:11:36.392108,0 days 00:00:00.128642,5.2806345389985445,68,28,38,38,best,COMPLETE
13,13,0.7125511621711141,2023-04-08 13:11:36.394118,2023-04-08 13:11:36.516742,0 days 00:00:00.122624,6.138774093820431,60,45,59,66,random,COMPLETE
14,14,0.6811024047987672,2023-04-08 13:11:36.518740,2023-04-08 13:11:36.636916,0 days 00:00:00.118176,6.528221089738899,63,98,57,71,random,COMPLETE
15,15,0.669360059417043,2023-04-08 13:11:36.638437,2023-04-08 13:11:36.742455,0 days 00:00:00.104018,7.480891998973568,56,55,35,85,random,COMPLETE
16,16,0.6821147374872242,2023-04-08 13:11:36.743950,2023-04-08 13:11:36.842957,0 days 00:00:00.099007,3.8953088941408542,85,17,19,62,random,COMPLETE
17,17,0.7165506734160847,2023-04-08 13:11:36.843948,2023-04-08 13:11:36.949487,0 days 00:00:00.105539,4.2621776882981885,42,51,48,87,random,COMPLETE
18,18,0.6844043480912763,2023-04-08 13:11:36.950981,2023-04-08 13:11:37.054005,0 days 00:00:00.103024,8.079372544775746,36,47,49,55,random,COMPLETE
19,19,0.7057748293400717,2023-04-08 13:11:37.055503,2023-04-08 13:11:37.165051,0 days 00:00:00.109548,5.338022855856956,49,62,63,77,random,COMPLETE
20,20,0.6821107936301514,2023-04-08 13:11:37.167264,2023-04-08 13:11:37.280625,0 days 00:00:00.113361,4.173424645268124,29,41,46,64,random,COMPLETE
21,21,0.6981191707284946,2023-04-08 13:11:37.283138,2023-04-08 13:11:37.395197,0 days 00:00:00.112059,5.433429804060915,48,60,62,84,random,COMPLETE
22,22,0.6722102681997192,2023-04-08 13:11:37.397206,2023-04-08 13:11:37.513801,0 days 00:00:00.116595,7.603702245405858,58,66,67,76,random,COMPLETE
23,23,0.6917272579816274,2023-04-08 13:11:37.515296,2023-04-08 13:11:37.626865,0 days 00:00:00.111569,4.286580921921924,43,40,45,92,random,COMPLETE
24,24,0.6864365163878409,2023-04-08 13:11:37.628359,2023-04-08 13:11:37.729878,0 days 00:00:00.101519,6.317610124048862,56,62,65,77,random,COMPLETE
25,25,0.6545045338292198,2023-04-08 13:11:37.731385,2023-04-08 13:11:37.836399,0 days 00:00:00.105014,8.738355848377003,81,71,54,50,random,COMPLETE
26,26,0.6883334138932026,2023-04-08 13:11:37.839280,2023-04-08 13:11:37.968066,0 days 00:00:00.128786,4.899893221767051,40,51,41,90,random,COMPLETE
27,27,0.7015967019182716,2023-04-08 13:11:37.969573,2023-04-08 13:11:38.083649,0 days 00:00:00.114076,3.150728642479766,32,40,27,63,random,COMPLETE
28,28,0.6868818886454789,2023-04-08 13:11:38.085137,2023-04-08 13:11:38.187159,0 days 00:00:00.102022,6.522796843970598,50,56,70,71,random,COMPLETE
29,29,0.7169650880496174,2023-04-08 13:11:38.188151,2023-04-08 13:11:38.300211,0 days 00:00:00.112060,2.8136549799134514,20,74,51,93,random,COMPLETE
30,30,0.7193812167198954,2023-04-08 13:11:38.302233,2023-04-08 13:11:38.425835,0 days 00:00:00.123602,2.548835456735618,13,93,28,93,random,COMPLETE
31,31,0.7170884868951914,2023-04-08 13:11:38.427845,2023-04-08 13:11:38.546957,0 days 00:00:00.119112,2.516113208680928,13,94,26,92,random,COMPLETE
32,32,0.7303865163735759,2023-04-08 13:11:38.547945,2023-04-08 13:11:38.679111,0 days 00:00:00.131166,2.664486441248978,15,100,24,93,random,COMPLETE
33,33,0.7106823041601593,2023-04-08 13:11:38.681109,2023-04-08 13:11:38.806246,0 days 00:00:00.125137,2.3890837566974366,14,97,26,94,random,COMPLETE
34,34,0.6678396870062571,2023-04-08 13:11:38.807740,2023-04-08 13:11:38.916281,0 days 00:00:00.108541,1.0931770186855942,2,90,19,95,random,COMPLETE
35,35,0.7240989010354677,2023-04-08 13:11:38.918291,2023-04-08 13:11:39.048453,0 days 00:00:00.130162,2.826529880009872,11,89,5,100,random,COMPLETE
36,36,0.6616850386454051,2023-04-08 13:11:39.049948,2023-04-08 13:11:39.191667,0 days 00:00:00.141719,2.401201993912462,10,88,6,100,best,COMPLETE
37,37,0.7113631690253509,2023-04-08 13:11:39.193668,2023-04-08 13:11:39.328840,0 days 00:00:00.135172,3.1884161014277703,20,94,13,81,random,COMPLETE
38,38,0.6516143630483657,2023-04-08 13:11:39.330848,2023-04-08 13:11:39.550116,0 days 00:00:00.219268,1.6480092922359266,9,84,21,89,best,COMPLETE
39,39,0.7102994923667082,2023-04-08 13:11:39.552629,2023-04-08 13:11:39.761689,0 days 00:00:00.209060,3.49175063493274,16,100,9,97,random,COMPLETE
40,40,0.6787171533644978,2023-04-08 13:11:39.764191,2023-04-08 13:11:39.923997,0 days 00:00:00.159806,2.407141828543664,24,82,29,19,best,COMPLETE
41,41,0.705729445455719,2023-04-08 13:11:39.925497,2023-04-08 13:11:40.056654,0 days 00:00:00.131157,2.8925084799835323,7,75,24,100,random,COMPLETE
42,42,0.7204311112925824,2023-04-08 13:11:40.058652,2023-04-08 13:11:40.198863,0 days 00:00:00.140211,1.9659681960925275,18,92,2,93,random,COMPLETE
43,43,0.69168740558621,2023-04-08 13:11:40.200370,2023-04-08 13:11:40.316952,0 days 00:00:00.116582,1.6521870031584478,16,90,1,81,random,COMPLETE
44,44,0.6962847302841468,2023-04-08 13:11:40.318447,2023-04-08 13:11:40.430519,0 days 00:00:00.112072,3.6736804423075666,25,93,6,88,random,COMPLETE
