,number,value,datetime_start,datetime_complete,duration,params_leaf_size,params_n_neighbors,params_p,state
0,0,0.5974413084577259,2023-04-08 13:11:47.383483,2023-04-08 13:11:47.553855,0 days 00:00:00.170372,18,26,2,COMPLETE
1,1,0.6599500720661471,2023-04-08 13:11:47.556348,2023-04-08 13:11:47.781482,0 days 00:00:00.225134,29,3,1,COMPLETE
2,2,0.6239996721036434,2023-04-08 13:11:47.783493,2023-04-08 13:11:48.024694,0 days 00:00:00.241201,12,31,1,COMPLETE
3,3,0.6026115378221042,2023-04-08 13:11:48.025890,2023-04-08 13:11:48.207101,0 days 00:00:00.181211,28,21,2,COMPLETE
4,4,0.6609791823715356,2023-04-08 13:11:48.208612,2023-04-08 13:11:48.424186,0 days 00:00:00.215574,31,12,1,COMPLETE
5,5,0.6502276403649158,2023-04-08 13:11:48.425694,2023-04-08 13:11:48.892513,0 days 00:00:00.466819,14,18,1,COMPLETE
6,6,0.644255639553529,2023-04-08 13:11:48.896528,2023-04-08 13:11:49.500556,0 days 00:00:00.604028,8,27,1,COMPLETE
7,7,0.6900049308896026,2023-04-08 13:11:49.502567,2023-04-08 13:11:49.739743,0 days 00:00:00.237176,32,4,1,COMPLETE
8,8,0.5985574949792735,2023-04-08 13:11:49.741759,2023-04-08 13:11:49.906073,0 days 00:00:00.164314,6,23,2,COMPLETE
9,9,0.6534774560876259,2023-04-08 13:11:49.907586,2023-04-08 13:11:50.116622,0 days 00:00:00.209036,54,13,1,COMPLETE
10,10,0.692479287271135,2023-04-08 13:11:50.118133,2023-04-08 13:11:50.296507,0 days 00:00:00.178374,49,2,2,COMPLETE
11,11,0.6835455356143285,2023-04-08 13:11:50.298518,2023-04-08 13:11:50.487458,0 days 00:00:00.188940,51,2,2,COMPLETE
12,12,0.6317215305153397,2023-04-08 13:11:50.488965,2023-04-08 13:11:50.674406,0 days 00:00:00.185441,43,7,2,COMPLETE
13,13,0.6372719156966214,2023-04-08 13:11:50.675914,2023-04-08 13:11:50.854804,0 days 00:00:00.178890,40,7,2,COMPLETE
14,14,0.648031609082601,2023-04-08 13:11:50.856316,2023-04-08 13:11:51.069879,0 days 00:00:00.213563,59,9,1,COMPLETE
15,15,0.7026037571117916,2023-04-08 13:11:51.071386,2023-04-08 13:11:51.231687,0 days 00:00:00.160301,42,2,2,COMPLETE
16,16,0.6521918159670393,2023-04-08 13:11:51.233698,2023-04-08 13:11:51.400025,0 days 00:00:00.166327,43,14,2,COMPLETE
17,17,0.6200709217648791,2023-04-08 13:11:51.401532,2023-04-08 13:11:51.593989,0 days 00:00:00.192457,50,9,2,COMPLETE
18,18,0.6776213281006098,2023-04-08 13:11:51.596004,2023-04-08 13:11:51.788961,0 days 00:00:00.192957,38,6,2,COMPLETE
19,19,0.6459041369495309,2023-04-08 13:11:51.790977,2023-04-08 13:11:51.958295,0 days 00:00:00.167318,59,16,2,COMPLETE
20,20,0.7185280587073173,2023-04-08 13:11:51.959817,2023-04-08 13:11:52.131675,0 days 00:00:00.171858,47,2,2,COMPLETE
21,21,0.7074347220549543,2023-04-08 13:11:52.133685,2023-04-08 13:11:52.358306,0 days 00:00:00.224621,49,2,2,COMPLETE
22,22,0.6452421026343333,2023-04-08 13:11:52.359813,2023-04-08 13:11:52.581919,0 days 00:00:00.222106,46,5,2,COMPLETE
