,number,value,datetime_start,datetime_complete,duration,params_alpha,params_binarize,params_fit_prior,state
0,0,0.6723382145240475,2023-04-08 13:13:23.778326,2023-04-08 13:13:23.870273,0 days 00:00:00.091947,0.7013999113961488,0.002273015004761093,True,COMPLETE
1,1,0.6769942127415982,2023-04-08 13:13:23.872282,2023-04-08 13:13:23.959718,0 days 00:00:00.087436,0.010914288256886054,0.0014290159498205645,False,COMPLETE
2,2,0.726090564918599,2023-04-08 13:13:23.961729,2023-04-08 13:13:24.050182,0 days 00:00:00.088453,0.002369132149169672,0.25293809162515635,False,COMPLETE
3,3,0.7108101241981258,2023-04-08 13:13:24.051695,2023-04-08 13:13:24.142141,0 days 00:00:00.090446,0.1727099119275943,0.4922858313243947,False,COMPLETE
4,4,0.705824994404164,2023-04-08 13:13:24.143654,2023-04-08 13:13:24.215494,0 days 00:00:00.071840,0.1552548557281586,0.224399241755539,False,COMPLETE
5,5,0.713120586938346,2023-04-08 13:13:24.217019,2023-04-08 13:13:24.299432,0 days 00:00:00.082413,0.030127640914152497,0.009746846589891925,False,COMPLETE
6,6,0.6718625535572087,2023-04-08 13:13:24.300937,2023-04-08 13:13:24.373796,0 days 00:00:00.072859,0.001788707122799762,0.001243129235692473,True,COMPLETE
7,7,0.7255707353870471,2023-04-08 13:13:24.375309,2023-04-08 13:13:24.449173,0 days 00:00:00.073864,0.026583814247728012,0.669914043203841,False,COMPLETE
8,8,0.6813313194778762,2023-04-08 13:13:24.450685,2023-04-08 13:13:24.523040,0 days 00:00:00.072355,0.005326672625958248,0.028402095198099966,False,COMPLETE
9,9,0.6975404448774143,2023-04-08 13:13:24.523543,2023-04-08 13:13:24.610482,0 days 00:00:00.086939,0.008882828375892349,0.20004971423022708,False,COMPLETE
10,10,0.6832032876263143,2023-04-08 13:13:24.611994,2023-04-08 13:13:24.704951,0 days 00:00:00.092957,0.0012932149149000845,0.09386593437658647,True,COMPLETE
11,11,0.7351121045946544,2023-04-08 13:13:24.706442,2023-04-08 13:13:24.793393,0 days 00:00:00.086951,0.0036016308026961667,0.6116061116931388,False,COMPLETE
12,12,0.6881114268315174,2023-04-08 13:13:24.794899,2023-04-08 13:13:24.876809,0 days 00:00:00.081910,0.0029510572883611193,0.7665188985417946,False,COMPLETE
13,13,0.658414352581841,2023-04-08 13:13:24.878316,2023-04-08 13:13:24.971777,0 days 00:00:00.093461,0.0012168072487512146,0.9344561152811686,False,COMPLETE
14,14,0.6910355656026264,2023-04-08 13:13:24.973285,2023-04-08 13:13:25.068247,0 days 00:00:00.094962,0.0037654149743896683,0.12633267646904583,True,COMPLETE
15,15,0.7001299738480171,2023-04-08 13:13:25.069763,2023-04-08 13:13:25.163233,0 days 00:00:00.093470,0.0027050736821123745,0.056043197395625084,False,COMPLETE
16,16,0.7126318117580936,2023-04-08 13:13:25.164746,2023-04-08 13:13:25.248156,0 days 00:00:00.083410,0.0011333595586584231,0.31666826406698045,False,COMPLETE
17,17,0.7189678859478454,2023-04-08 13:13:25.249669,2023-04-08 13:13:25.344637,0 days 00:00:00.094968,0.007033358338575997,0.3354969929687757,False,COMPLETE
18,18,0.7453445875490093,2023-04-08 13:13:25.346132,2023-04-08 13:13:25.437098,0 days 00:00:00.090966,0.013512055423100397,0.4209068008913116,True,COMPLETE
19,19,0.7151010468633189,2023-04-08 13:13:25.438593,2023-04-08 13:13:25.522022,0 days 00:00:00.083429,0.00954050178973592,0.4793355927646852,True,COMPLETE
20,20,0.6875709046579291,2023-04-08 13:13:25.523517,2023-04-08 13:13:25.619508,0 days 00:00:00.095991,0.015549059727602588,0.11580345934076358,True,COMPLETE
21,21,0.6709227663519118,2023-04-08 13:13:25.621506,2023-04-08 13:13:25.714984,0 days 00:00:00.093478,0.004396402262665856,0.9786272771290114,True,COMPLETE
22,22,0.7166527949997057,2023-04-08 13:13:25.716481,2023-04-08 13:13:25.812472,0 days 00:00:00.095991,0.0024954171301114158,0.3078690589236215,True,COMPLETE
23,23,0.7197714870257232,2023-04-08 13:13:25.813985,2023-04-08 13:13:25.912971,0 days 00:00:00.098986,0.004186126887213934,0.45489628083383793,True,COMPLETE
24,24,0.6915938747186786,2023-04-08 13:13:25.914484,2023-04-08 13:13:26.011964,0 days 00:00:00.097480,0.015989482451677875,0.19337026572990496,False,COMPLETE
25,25,0.6921241714671488,2023-04-08 13:13:26.013478,2023-04-08 13:13:26.108949,0 days 00:00:00.095471,0.0020196897682077408,0.47957876594670884,False,COMPLETE
26,26,0.6651137203840566,2023-04-08 13:13:26.110460,2023-04-08 13:13:26.207946,0 days 00:00:00.097486,0.005904348226769867,0.9719124350252123,True,COMPLETE
