,number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_learning_rate,params_momentum,params_n_layers,params_n_units_0,params_n_units_1,params_power_t,params_solver,state
0,0,0.715239799109615,2023-04-08 13:23:18.668168,2023-04-08 13:23:28.084614,0 days 00:00:09.416446,relu,0.15925973766030893,adaptive,0.72360450569591,1,97,,0.30000000000000004,adam,COMPLETE
1,1,0.6901966303938221,2023-04-08 13:23:28.086121,2023-04-08 13:23:40.821351,0 days 00:00:12.735230,tanh,0.43941613702332477,constant,0.16566135896919398,2,17,74.0,0.4,adam,COMPLETE
2,2,0.5025000000000001,2023-04-08 13:23:40.822859,2023-04-08 13:23:44.594148,0 days 00:00:03.771289,relu,0.5902687642064516,constant,0.8484317273874731,1,15,,0.30000000000000004,sgd,COMPLETE
3,3,0.5,2023-04-08 13:23:44.596161,2023-04-08 13:23:53.111311,0 days 00:00:08.515150,relu,0.4996055319316238,adaptive,0.5375650762669258,1,86,,0.30000000000000004,sgd,COMPLETE
4,4,0.49972826086956523,2023-04-08 13:23:53.113334,2023-04-08 13:24:00.326200,0 days 00:00:07.212866,relu,0.7126108341038433,constant,0.7361525246625179,1,45,,0.7,sgd,COMPLETE
5,5,0.5,2023-04-08 13:24:00.327697,2023-04-08 13:24:13.196133,0 days 00:00:12.868436,relu,0.02050531532618449,constant,0.08673200400685876,2,74,28.0,0.8,sgd,COMPLETE
6,6,0.5,2023-04-08 13:24:13.197640,2023-04-08 13:24:19.787612,0 days 00:00:06.589972,relu,0.3125149041855941,adaptive,0.49109639903116065,1,30,,0.4,sgd,COMPLETE
7,7,0.6985033287353535,2023-04-08 13:24:19.789107,2023-04-08 13:24:41.413367,0 days 00:00:21.624260,tanh,0.23884719350920566,adaptive,0.03278220042324487,2,77,53.0,1.0,adam,COMPLETE
8,8,0.5,2023-04-08 13:24:41.414863,2023-04-08 13:24:50.211782,0 days 00:00:08.796919,tanh,0.046508912219560355,adaptive,0.48172838232591964,1,41,,0.6000000000000001,sgd,COMPLETE
9,9,0.5317605822676816,2023-04-08 13:24:50.213302,2023-04-08 13:25:08.818875,0 days 00:00:18.605573,tanh,0.8265321946019071,adaptive,0.7572887148119449,2,95,21.0,0.7,sgd,COMPLETE
10,10,0.6797715469011101,2023-04-08 13:25:08.820382,2023-04-08 13:25:17.113887,0 days 00:00:08.293505,relu,0.9376092462990925,adaptive,0.9223134945781463,1,64,,0.5,adam,COMPLETE
11,11,0.6874736983576615,2023-04-08 13:25:17.115377,2023-04-08 13:25:45.961207,0 days 00:00:28.845830,tanh,0.23848798428848944,adaptive,0.003067378011224472,2,97,96.0,1.0,adam,COMPLETE
12,12,0.6811420344024774,2023-04-08 13:25:45.962726,2023-04-08 13:26:06.405843,0 days 00:00:20.443117,tanh,0.21221246729557508,adaptive,0.23768325537781157,2,67,52.0,1.0,adam,COMPLETE
13,13,0.7143345750769198,2023-04-08 13:26:06.407865,2023-04-08 13:26:30.925836,0 days 00:00:24.517971,tanh,0.1555092145401779,adaptive,0.32697985362792875,2,81,56.0,0.2,adam,COMPLETE
14,14,0.6840138651417041,2023-04-08 13:26:30.927846,2023-04-08 13:26:41.876328,0 days 00:00:10.948482,tanh,0.10662016297774282,adaptive,0.3328587742483718,1,57,,0.2,adam,COMPLETE
15,15,0.6847730053879607,2023-04-08 13:26:41.877847,2023-04-08 13:26:59.407757,0 days 00:00:17.529910,relu,0.35157573921041574,adaptive,0.9893115084434377,2,86,76.0,0.2,adam,COMPLETE
16,16,0.6489043127639759,2023-04-08 13:26:59.409771,2023-04-08 13:27:11.294134,0 days 00:00:11.884363,relu,0.12455249473111468,adaptive,0.3617750043241341,2,100,4.0,0.2,adam,COMPLETE
17,17,0.6837009088542663,2023-04-08 13:27:11.295628,2023-04-08 13:27:24.032744,0 days 00:00:12.737116,tanh,0.36257196278316217,adaptive,0.6464779767943408,1,80,,0.4,adam,COMPLETE
18,18,0.6857343848728983,2023-04-08 13:27:24.034265,2023-04-08 13:27:33.603550,0 days 00:00:09.569285,relu,0.16037852285240575,constant,0.6241691131431848,1,88,,0.30000000000000004,adam,COMPLETE
19,19,0.6915183733203207,2023-04-08 13:27:33.605057,2023-04-08 13:27:51.326704,0 days 00:00:17.721647,tanh,0.03858079782349495,adaptive,0.34313048563429116,2,58,38.0,0.5,adam,COMPLETE
20,20,0.7052077333377379,2023-04-08 13:27:51.328223,2023-04-08 13:28:14.476676,0 days 00:00:23.148453,tanh,0.3016319240090771,adaptive,0.4088196182444238,2,70,68.0,0.5,adam,COMPLETE
21,21,0.7112748239346138,2023-04-08 13:28:14.478183,2023-04-08 13:28:38.677153,0 days 00:00:24.198970,tanh,0.27424093399562466,adaptive,0.43202384759030177,2,73,72.0,0.5,adam,COMPLETE
22,22,0.6062722447267356,2023-04-08 13:28:38.679157,2023-04-08 13:28:47.332619,0 days 00:00:08.653462,tanh,0.19644893426525842,adaptive,0.24602079646304076,2,1,95.0,0.30000000000000004,adam,COMPLETE
23,23,0.7023507492914989,2023-04-08 13:28:47.334116,2023-04-08 13:29:12.125862,0 days 00:00:24.791746,tanh,0.12566969004008152,adaptive,0.5693864521775941,2,88,65.0,0.2,adam,COMPLETE
24,24,0.6892259936318018,2023-04-08 13:29:12.127356,2023-04-08 13:29:39.070131,0 days 00:00:26.942775,tanh,0.2656154159023118,adaptive,0.4820256533298491,2,80,84.0,0.4,adam,COMPLETE
25,25,0.6903899923160667,2023-04-08 13:29:39.071650,2023-04-08 13:30:03.755461,0 days 00:00:24.683811,tanh,0.37755580615669143,adaptive,0.4113301325719929,2,91,59.0,0.6000000000000001,adam,COMPLETE
26,26,0.7113783352748849,2023-04-08 13:30:03.756957,2023-04-08 13:30:12.012884,0 days 00:00:08.255927,relu,0.166089027652493,constant,0.6217197318824912,1,59,,0.30000000000000004,adam,COMPLETE
27,27,0.6953118521957213,2023-04-08 13:30:12.014405,2023-04-08 13:30:20.060293,0 days 00:00:08.045888,relu,0.09072635825335337,constant,0.6813613592362242,1,54,,0.30000000000000004,adam,COMPLETE
28,28,0.6859197858994432,2023-04-08 13:30:20.062305,2023-04-08 13:30:28.719338,0 days 00:00:08.657033,relu,0.15080130314300805,constant,0.5988578829,1,63,,0.2,adam,COMPLETE
29,29,0.6802974326536719,2023-04-08 13:30:28.720330,2023-04-08 13:30:36.627871,0 days 00:00:07.907541,relu,0.4333935965346779,constant,0.7794159282781329,1,47,,0.4,adam,COMPLETE
30,30,0.7047318364576184,2023-04-08 13:30:36.629379,2023-04-08 13:30:43.844354,0 days 00:00:07.214975,relu,0.18445876217588653,constant,0.6847596402837095,1,35,,0.30000000000000004,adam,COMPLETE
31,31,0.6871285382319253,2023-04-08 13:30:43.845862,2023-04-08 13:30:52.654864,0 days 00:00:08.809002,relu,0.27526252040913035,constant,0.5394204118003553,1,71,,0.4,adam,COMPLETE
32,32,0.6822823383150398,2023-04-08 13:30:52.656361,2023-04-08 13:31:11.409379,0 days 00:00:18.753018,tanh,0.19446827162214206,constant,0.8196480947667437,2,80,35.0,0.5,adam,COMPLETE
33,33,0.7031428681533591,2023-04-08 13:31:11.410887,2023-04-08 13:31:21.813104,0 days 00:00:10.402217,relu,0.09173594674806314,adaptive,0.6112445445708249,1,61,,0.30000000000000004,adam,COMPLETE
34,34,0.704461042325502,2023-04-08 13:31:21.814600,2023-04-08 13:31:31.579007,0 days 00:00:09.764407,relu,0.5242447199705063,constant,0.7069283362600144,1,83,,0.2,adam,COMPLETE
35,35,0.5,2023-04-08 13:31:31.580514,2023-04-08 13:31:52.943299,0 days 00:00:21.362785,tanh,0.011120065158060188,adaptive,0.5591577034905024,2,95,43.0,0.7,sgd,COMPLETE
36,36,0.6912558705317677,2023-04-08 13:31:52.944793,2023-04-08 13:32:01.669986,0 days 00:00:08.725193,relu,0.23865784976909554,constant,0.809111371189453,1,76,,0.30000000000000004,adam,COMPLETE
37,37,0.5,2023-04-08 13:32:01.672007,2023-04-08 13:32:15.736893,0 days 00:00:14.064886,relu,0.29691688842203123,adaptive,0.4517367340513584,2,51,83.0,0.9000000000000001,sgd,COMPLETE
38,38,0.6682940585681347,2023-04-08 13:32:15.738915,2023-04-08 13:32:20.890602,0 days 00:00:05.151687,tanh,0.0780761175583197,constant,0.5385357946557917,1,21,,0.4,adam,COMPLETE
39,39,0.5084920634920634,2023-04-08 13:32:20.892600,2023-04-08 13:32:31.539167,0 days 00:00:10.646567,relu,0.1607160880493237,adaptive,0.7386412992293611,2,74,14.0,0.8,sgd,COMPLETE
40,40,0.6776274695898488,2023-04-08 13:32:31.540676,2023-04-08 13:32:45.385214,0 days 00:00:13.844538,tanh,0.05789324476659026,adaptive,0.6577401668480554,1,92,,0.6000000000000001,adam,COMPLETE
41,41,0.6873378482263285,2023-04-08 13:32:45.386718,2023-04-08 13:33:08.621081,0 days 00:00:23.234363,tanh,0.3147089679733748,adaptive,0.42052955729576846,2,71,67.0,0.5,adam,COMPLETE
42,42,0.6771129611002144,2023-04-08 13:33:08.622822,2023-04-08 13:33:30.663985,0 days 00:00:22.041163,tanh,0.22504745083361738,adaptive,0.5155092790944977,2,68,65.0,0.5,adam,COMPLETE
43,43,0.6910321254394521,2023-04-08 13:33:30.665559,2023-04-08 13:33:50.128078,0 days 00:00:19.462519,tanh,0.26858780529307325,adaptive,0.40114067609312587,2,68,47.0,0.6000000000000001,adam,COMPLETE
44,44,0.6909693720109313,2023-04-08 13:33:50.129575,2023-04-08 13:34:15.479346,0 days 00:00:25.349771,tanh,0.13937874179048992,adaptive,0.26487495911140935,2,84,83.0,0.4,adam,COMPLETE
45,45,0.5,2023-04-08 13:34:15.481357,2023-04-08 13:34:32.185051,0 days 00:00:16.703694,tanh,0.3282669224732355,adaptive,0.46799912427574497,2,41,59.0,0.30000000000000004,sgd,COMPLETE
46,46,0.6999037799659676,2023-04-08 13:34:32.186750,2023-04-08 13:34:54.886415,0 days 00:00:22.699665,tanh,0.3990913176083527,adaptive,0.1538910942243812,2,58,73.0,0.7,adam,COMPLETE
47,47,0.7103214760474682,2023-04-08 13:34:54.887922,2023-04-08 13:35:11.688148,0 days 00:00:16.800226,relu,0.3080320557724748,adaptive,0.2994983088589296,2,72,89.0,0.5,adam,COMPLETE
48,48,0.6740224943140818,2023-04-08 13:35:11.690145,2023-04-08 13:35:20.020569,0 days 00:00:08.330424,relu,0.22950563481024472,adaptive,0.30817095050512905,1,65,,0.2,adam,COMPLETE
49,49,0.6950388538965427,2023-04-08 13:35:20.022295,2023-04-08 13:35:39.193887,0 days 00:00:19.171592,relu,0.1731185036724482,adaptive,0.35528095849849595,2,100,92.0,0.30000000000000004,adam,COMPLETE
50,50,0.5,2023-04-08 13:35:39.195394,2023-04-08 13:35:47.341307,0 days 00:00:08.145913,relu,0.3390714404756544,constant,0.20078763156399654,1,74,,0.4,sgd,COMPLETE
51,51,0.6792357640562321,2023-04-08 13:35:47.342312,2023-04-08 13:36:04.049787,0 days 00:00:16.707475,relu,0.30386390896989857,adaptive,0.30254971204677084,2,70,88.0,0.5,adam,COMPLETE
52,52,0.6990606927972624,2023-04-08 13:36:04.051797,2023-04-08 13:36:20.532336,0 days 00:00:16.480539,relu,0.25722144223529714,adaptive,0.377719893194428,2,77,78.0,0.6000000000000001,adam,COMPLETE
53,53,0.6930899956842984,2023-04-08 13:36:20.534346,2023-04-08 13:36:43.172384,0 days 00:00:22.638038,tanh,0.1953131567364427,adaptive,0.424985219271784,2,61,70.0,0.5,adam,COMPLETE
54,54,0.6685113009889995,2023-04-08 13:36:43.174407,2023-04-08 13:36:56.959145,0 days 00:00:13.784738,relu,0.11586259716011083,adaptive,0.4470618833868652,2,54,57.0,0.5,adam,COMPLETE
55,55,0.6828711615709916,2023-04-08 13:36:56.961145,2023-04-08 13:37:23.685507,0 days 00:00:26.724362,tanh,0.28765440685608,adaptive,0.4993511360125734,2,83,100.0,0.2,adam,COMPLETE
56,56,0.7020931120085436,2023-04-08 13:37:23.687007,2023-04-08 13:37:41.603253,0 days 00:00:17.916246,relu,0.22058853916811272,adaptive,0.3707044993488873,2,90,78.0,0.8,adam,COMPLETE
57,57,0.6966651120170043,2023-04-08 13:37:41.605277,2023-04-08 13:38:05.579662,0 days 00:00:23.974385,tanh,0.05906399123731618,adaptive,0.32547352684290476,2,63,64.0,0.4,adam,COMPLETE
58,58,0.6809363696287488,2023-04-08 13:38:05.582175,2023-04-08 13:38:26.527765,0 days 00:00:20.945590,relu,0.14204514976563232,adaptive,0.2934026844499923,2,79,72.0,0.6000000000000001,adam,COMPLETE
59,59,0.695793935903678,2023-04-08 13:38:26.529777,2023-04-08 13:38:55.268727,0 days 00:00:28.738950,tanh,0.36440499849301466,adaptive,0.3843045826959002,2,95,48.0,0.30000000000000004,adam,COMPLETE
60,60,0.7055436485146769,2023-04-08 13:38:55.270220,2023-04-08 13:39:04.792369,0 days 00:00:09.522149,relu,0.25218103447738704,constant,0.5835006953471784,1,74,,0.4,adam,COMPLETE
61,61,0.6727812331723267,2023-04-08 13:39:04.793865,2023-04-08 13:39:13.950375,0 days 00:00:09.156510,relu,0.2675352081663642,constant,0.501013508307203,1,73,,0.4,adam,COMPLETE
62,62,0.692649609191919,2023-04-08 13:39:13.951871,2023-04-08 13:39:22.760598,0 days 00:00:08.808727,relu,0.19954465646578973,constant,0.6089075645366292,1,67,,0.5,adam,COMPLETE
63,63,0.6882920055697369,2023-04-08 13:39:22.762399,2023-04-08 13:39:33.305646,0 days 00:00:10.543247,relu,0.16585687333198906,constant,0.6396768390241344,1,87,,0.4,adam,COMPLETE
