,number,value,datetime_start,datetime_complete,duration,params_reg_param,state
0,0,0.6501219924073938,2023-04-08 13:19:53.286915,2023-04-08 13:19:53.475654,0 days 00:00:00.188739,0,COMPLETE
1,1,0.6348071224789973,2023-04-08 13:19:53.477177,2023-04-08 13:19:53.649042,0 days 00:00:00.171865,0,COMPLETE
2,2,0.5,2023-04-08 13:19:53.650543,2023-04-08 13:19:53.818307,0 days 00:00:00.167764,1,COMPLETE
3,3,0.6283288462919631,2023-04-08 13:19:53.819815,2023-04-08 13:19:53.980249,0 days 00:00:00.160434,0,COMPLETE
4,4,0.6307437621103575,2023-04-08 13:19:53.981757,2023-04-08 13:19:54.139829,0 days 00:00:00.158072,0,COMPLETE
5,5,0.5,2023-04-08 13:19:54.141336,2023-04-08 13:19:54.298537,0 days 00:00:00.157201,1,COMPLETE
6,6,0.6139354228466849,2023-04-08 13:19:54.300031,2023-04-08 13:19:54.461655,0 days 00:00:00.161624,0,COMPLETE
7,7,0.5,2023-04-08 13:19:54.463167,2023-04-08 13:19:54.633401,0 days 00:00:00.170234,1,COMPLETE
8,8,0.5,2023-04-08 13:19:54.634502,2023-04-08 13:19:54.800208,0 days 00:00:00.165706,1,COMPLETE
9,9,0.6443712687269234,2023-04-08 13:19:54.801704,2023-04-08 13:19:54.965749,0 days 00:00:00.164045,0,COMPLETE
10,10,0.6138137933630488,2023-04-08 13:19:54.967256,2023-04-08 13:19:55.142966,0 days 00:00:00.175710,0,COMPLETE
11,11,0.6290227556562813,2023-04-08 13:19:55.144484,2023-04-08 13:19:55.319600,0 days 00:00:00.175116,0,COMPLETE
12,12,0.6338064597116231,2023-04-08 13:19:55.321105,2023-04-08 13:19:55.491045,0 days 00:00:00.169940,0,COMPLETE
13,13,0.6501219924073938,2023-04-08 13:19:55.492552,2023-04-08 13:19:55.664931,0 days 00:00:00.172379,0,COMPLETE
14,14,0.6348071224789973,2023-04-08 13:19:55.666438,2023-04-08 13:19:55.829567,0 days 00:00:00.163129,0,COMPLETE
15,15,0.6518430921392611,2023-04-08 13:19:55.831074,2023-04-08 13:19:55.997507,0 days 00:00:00.166433,0,COMPLETE
16,16,0.6283288462919631,2023-04-08 13:19:55.998499,2023-04-08 13:19:56.169323,0 days 00:00:00.170824,0,COMPLETE
17,17,0.5,2023-04-08 13:19:56.170422,2023-04-08 13:19:56.339822,0 days 00:00:00.169400,1,COMPLETE
18,18,0.6308654423885377,2023-04-08 13:19:56.341506,2023-04-08 13:19:56.513724,0 days 00:00:00.172218,0,COMPLETE
19,19,0.6139354228466849,2023-04-08 13:19:56.515718,2023-04-08 13:19:56.688139,0 days 00:00:00.172421,0,COMPLETE
20,20,0.5,2023-04-08 13:19:56.689640,2023-04-08 13:19:56.863194,0 days 00:00:00.173554,1,COMPLETE
21,21,0.6305749156293294,2023-04-08 13:19:56.864184,2023-04-08 13:19:57.039451,0 days 00:00:00.175267,0,COMPLETE
22,22,0.6443712687269234,2023-04-08 13:19:57.040971,2023-04-08 13:19:57.205812,0 days 00:00:00.164841,0,COMPLETE
23,23,0.6138137933630488,2023-04-08 13:19:57.206818,2023-04-08 13:19:57.374446,0 days 00:00:00.167628,0,COMPLETE
24,24,0.6290227556562813,2023-04-08 13:19:57.375953,2023-04-08 13:19:57.546574,0 days 00:00:00.170621,0,COMPLETE
25,25,0.6338064597116231,2023-04-08 13:19:57.548094,2023-04-08 13:19:57.714864,0 days 00:00:00.166770,0,COMPLETE
26,26,0.6501219924073938,2023-04-08 13:19:57.716358,2023-04-08 13:19:57.882276,0 days 00:00:00.165918,0,COMPLETE
27,27,0.6348071224789973,2023-04-08 13:19:57.883782,2023-04-08 13:19:58.048624,0 days 00:00:00.164842,0,COMPLETE
28,28,0.6518430921392611,2023-04-08 13:19:58.050131,2023-04-08 13:19:58.221982,0 days 00:00:00.171851,0,COMPLETE
29,29,0.6283288462919631,2023-04-08 13:19:58.223489,2023-04-08 13:19:58.396641,0 days 00:00:00.173152,0,COMPLETE
30,30,0.6307437621103575,2023-04-08 13:19:58.398149,2023-04-08 13:19:58.572114,0 days 00:00:00.173965,0,COMPLETE
31,31,0.6308654423885377,2023-04-08 13:19:58.573098,2023-04-08 13:19:58.744933,0 days 00:00:00.171835,0,COMPLETE
32,32,0.6139354228466849,2023-04-08 13:19:58.746937,2023-04-08 13:19:58.913967,0 days 00:00:00.167030,0,COMPLETE
33,33,0.6081868730940408,2023-04-08 13:19:58.915475,2023-04-08 13:19:59.090455,0 days 00:00:00.174980,0,COMPLETE
34,34,0.6305749156293294,2023-04-08 13:19:59.091959,2023-04-08 13:19:59.266935,0 days 00:00:00.174976,0,COMPLETE
35,35,0.6443712687269234,2023-04-08 13:19:59.268453,2023-04-08 13:19:59.445925,0 days 00:00:00.177472,0,COMPLETE
36,36,0.6138137933630488,2023-04-08 13:19:59.446931,2023-04-08 13:19:59.616784,0 days 00:00:00.169853,0,COMPLETE
37,37,0.5,2023-04-08 13:19:59.618270,2023-04-08 13:19:59.785567,0 days 00:00:00.167297,1,COMPLETE
38,38,0.6338064597116231,2023-04-08 13:19:59.787577,2023-04-08 13:19:59.954884,0 days 00:00:00.167307,0,COMPLETE
39,39,0.5,2023-04-08 13:19:59.956387,2023-04-08 13:20:00.126486,0 days 00:00:00.170099,1,COMPLETE
40,40,0.6348071224789973,2023-04-08 13:20:00.127994,2023-04-08 13:20:00.297587,0 days 00:00:00.169593,0,COMPLETE
