,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,state
0,0,0.6778852524901462,2023-04-08 13:13:33.116756,2023-04-08 13:13:40.534740,0 days 00:00:07.417984,False,11.99839396573189,log_loss,8,13,11,355,COMPLETE
1,1,0.7249485388015297,2023-04-08 13:13:40.536732,2023-04-08 13:13:48.688222,0 days 00:00:08.151490,True,17.909715417688545,entropy,13,27,17,282,COMPLETE
2,2,0.6909888813972916,2023-04-08 13:13:48.690219,2023-04-08 13:13:57.068006,0 days 00:00:08.377787,False,1.9596316570699361,entropy,10,16,10,387,COMPLETE
3,3,0.6869370284013769,2023-04-08 13:13:57.070002,2023-04-08 13:14:02.725699,0 days 00:00:05.655697,False,12.975842393267449,gini,14,13,10,304,COMPLETE
4,4,0.616466310697773,2023-04-08 13:14:02.727709,2023-04-08 13:14:08.108557,0 days 00:00:05.380848,False,14.198020736416627,entropy,24,29,7,196,COMPLETE
5,5,0.7118212424891753,2023-04-08 13:14:08.110567,2023-04-08 13:14:12.655230,0 days 00:00:04.544663,True,14.314445694128414,log_loss,26,24,19,166,COMPLETE
6,6,0.7344264957589062,2023-04-08 13:14:12.656722,2023-04-08 13:14:19.820453,0 days 00:00:07.163731,True,12.055833027126905,entropy,22,16,16,314,COMPLETE
7,7,0.6859492010975483,2023-04-08 13:14:19.822453,2023-04-08 13:14:24.682684,0 days 00:00:04.860231,True,14.110751146728616,entropy,6,26,7,206,COMPLETE
8,8,0.6348546560522911,2023-04-08 13:14:24.684694,2023-04-08 13:14:31.080102,0 days 00:00:06.395408,False,17.53265663101923,gini,24,11,8,377,COMPLETE
9,9,0.7359688507175954,2023-04-08 13:14:31.082097,2023-04-08 13:14:33.887104,0 days 00:00:02.805007,True,8.12103873198605,gini,4,27,4,107,COMPLETE
10,10,0.6909992482872797,2023-04-08 13:14:33.889093,2023-04-08 13:14:35.429271,0 days 00:00:01.540178,True,6.513718173438715,gini,2,22,2,67,COMPLETE
11,11,0.7339294182454456,2023-04-08 13:14:35.431280,2023-04-08 13:14:37.405641,0 days 00:00:01.974361,True,8.054413258283013,gini,20,4,15,93,COMPLETE
12,12,0.681446744129137,2023-04-08 13:14:37.407649,2023-04-08 13:14:39.612644,0 days 00:00:02.204995,True,9.27840458071297,entropy,31,19,2,118,COMPLETE
13,13,0.7116753173712939,2023-04-08 13:14:39.614140,2023-04-08 13:14:40.284498,0 days 00:00:00.670358,True,10.23329821147509,gini,18,5,14,34,COMPLETE
14,14,0.7289601818258963,2023-04-08 13:14:40.285991,2023-04-08 13:14:46.015072,0 days 00:00:05.729081,True,6.638050397054263,log_loss,2,19,5,270,COMPLETE
15,15,0.7382200039206804,2023-04-08 13:14:46.016565,2023-04-08 13:14:49.182079,0 days 00:00:03.165514,True,4.541813902760462,gini,31,9,14,149,COMPLETE
16,16,0.7164260205825153,2023-04-08 13:14:49.184097,2023-04-08 13:14:52.186568,0 days 00:00:03.002471,True,3.4302156468686107,gini,31,8,12,139,COMPLETE
17,17,0.7061639793472777,2023-04-08 13:14:52.189061,2023-04-08 13:14:55.510137,0 days 00:00:03.321076,True,4.424829996657955,gini,28,9,13,158,COMPLETE
18,18,0.7144390582499854,2023-04-08 13:14:55.512131,2023-04-08 13:14:56.021169,0 days 00:00:00.509038,True,4.950627963207583,gini,15,1,4,27,COMPLETE
19,19,0.6998306040180444,2023-04-08 13:14:56.023179,2023-04-08 13:15:01.689449,0 days 00:00:05.666270,True,1.772834956555096,gini,11,20,20,240,COMPLETE
20,20,0.7148820223935004,2023-04-08 13:15:01.690957,2023-04-08 13:15:03.253231,0 days 00:00:01.562274,True,7.605054036245329,gini,5,8,18,81,COMPLETE
21,21,0.7204755339523243,2023-04-08 13:15:03.254737,2023-04-08 13:15:07.332084,0 days 00:00:04.077347,True,9.161047577334958,entropy,21,16,16,176,COMPLETE
22,22,0.7280859833752729,2023-04-08 13:15:07.334078,2023-04-08 13:15:16.959591,0 days 00:00:09.625513,True,11.400645464620267,entropy,28,29,15,335,COMPLETE
23,23,0.7058682392104197,2023-04-08 13:15:16.961587,2023-04-08 13:15:21.924331,0 days 00:00:04.962744,True,5.8375283156737625,log_loss,21,14,13,231,COMPLETE
24,24,0.7224100747861505,2023-04-08 13:15:21.925837,2023-04-08 13:15:23.956983,0 days 00:00:02.031146,True,7.893230017162358,gini,32,5,17,106,COMPLETE
25,25,0.7099373314852875,2023-04-08 13:15:23.958490,2023-04-08 13:15:27.219231,0 days 00:00:03.260741,True,3.5444601252440915,entropy,18,23,9,133,COMPLETE
26,26,0.6943923667035875,2023-04-08 13:15:27.221241,2023-04-08 13:15:32.323922,0 days 00:00:05.102681,False,10.01430976898322,gini,24,10,5,320,COMPLETE
27,27,0.7309515711657434,2023-04-08 13:15:32.325936,2023-04-08 13:15:38.459244,0 days 00:00:06.133308,True,8.853391535283572,gini,29,21,14,255,COMPLETE
28,28,0.7348468760273651,2023-04-08 13:15:38.461250,2023-04-08 13:15:39.846157,0 days 00:00:01.384907,True,5.588308577018067,entropy,16,17,12,57,COMPLETE
29,29,0.704535777521323,2023-04-08 13:15:39.848166,2023-04-08 13:15:41.837103,0 days 00:00:01.988937,False,5.428111418328664,log_loss,8,25,11,64,COMPLETE
30,30,0.7088446997600167,2023-04-08 13:15:41.839031,2023-04-08 13:15:42.984240,0 days 00:00:01.145209,True,6.868703591973721,log_loss,16,12,12,50,COMPLETE
31,31,0.7205364231191101,2023-04-08 13:15:42.985749,2023-04-08 13:15:45.893246,0 days 00:00:02.907497,True,4.384755439215441,entropy,11,17,16,119,COMPLETE
32,32,0.7289484596811702,2023-04-08 13:15:45.895258,2023-04-08 13:15:49.117321,0 days 00:00:03.222063,True,11.643728763445932,entropy,23,14,12,146,COMPLETE
33,33,0.7116205795418977,2023-04-08 13:15:49.119331,2023-04-08 13:15:51.720041,0 days 00:00:02.600710,True,6.010607762155617,entropy,26,18,17,99,COMPLETE
34,34,0.7084992975688327,2023-04-08 13:15:51.722050,2023-04-08 13:15:55.937070,0 days 00:00:04.215020,True,2.224918084111291,entropy,9,15,14,188,COMPLETE
35,35,0.7167505696858119,2023-04-08 13:15:55.939077,2023-04-08 13:16:07.082643,0 days 00:00:11.143566,False,7.457163895504016,entropy,13,30,10,359,COMPLETE
36,36,0.7080278341722973,2023-04-08 13:16:07.084652,2023-04-08 13:16:14.542339,0 days 00:00:07.457687,True,5.463807885503213,entropy,5,27,10,288,COMPLETE
37,37,0.6665390902598285,2023-04-08 13:16:14.544349,2023-04-08 13:16:19.517649,0 days 00:00:04.973300,False,1.258272930925079,entropy,13,13,18,220,COMPLETE
38,38,0.7241654100140361,2023-04-08 13:16:19.519658,2023-04-08 13:16:21.165883,0 days 00:00:01.646225,True,12.801649963601378,gini,26,17,15,69,COMPLETE
39,39,0.6983051021082604,2023-04-08 13:16:21.167894,2023-04-08 13:16:22.183943,0 days 00:00:01.016049,True,10.744434017890711,entropy,19,7,8,51,COMPLETE
40,40,0.7282067597046257,2023-04-08 13:16:22.185597,2023-04-08 13:16:23.386098,0 days 00:00:01.200501,False,6.780354570543661,gini,7,1,13,86,COMPLETE
41,41,0.7190114062719427,2023-04-08 13:16:23.387605,2023-04-08 13:16:25.011201,0 days 00:00:01.623596,True,8.286002811788014,gini,21,3,15,94,COMPLETE
42,42,0.7100048346531767,2023-04-08 13:16:25.012692,2023-04-08 13:16:27.296095,0 days 00:00:02.283403,True,8.860686067017918,gini,20,6,16,121,COMPLETE
43,43,0.7041142403701637,2023-04-08 13:16:27.297602,2023-04-08 13:16:30.664105,0 days 00:00:03.366503,True,7.604570953431024,gini,17,12,18,157,COMPLETE
44,44,0.7152980912001546,2023-04-08 13:16:30.666114,2023-04-08 13:16:32.590432,0 days 00:00:01.924318,True,9.678513889162474,gini,23,3,14,113,COMPLETE
45,45,0.7296436530688051,2023-04-08 13:16:32.591940,2023-04-08 13:16:39.286806,0 days 00:00:06.694866,True,6.190060913632534,gini,15,3,12,393,COMPLETE
46,46,0.7040563165374288,2023-04-08 13:16:39.288312,2023-04-08 13:16:40.298365,0 days 00:00:01.010053,True,8.346604836967625,log_loss,26,10,15,43,COMPLETE
47,47,0.7179871678276794,2023-04-08 13:16:40.299856,2023-04-08 13:16:42.104856,0 days 00:00:01.805000,True,10.52518492695976,gini,3,27,11,79,COMPLETE
48,48,0.7372811939463625,2023-04-08 13:16:42.106868,2023-04-08 13:16:45.269654,0 days 00:00:03.162786,True,7.113263487478619,entropy,29,5,3,187,COMPLETE
49,49,0.6989524086445714,2023-04-08 13:16:45.271648,2023-04-08 13:16:49.308777,0 days 00:00:04.037129,True,4.691776911297877,entropy,30,21,3,198,COMPLETE
50,50,0.7291120090937616,2023-04-08 13:16:49.310285,2023-04-08 13:16:52.605216,0 days 00:00:03.294931,True,3.8107610318274165,entropy,28,7,6,184,COMPLETE
51,51,0.7140373984262969,2023-04-08 13:16:52.606722,2023-04-08 13:16:55.304173,0 days 00:00:02.697451,True,6.669786185501439,entropy,32,4,3,169,COMPLETE
52,52,0.6917440944633422,2023-04-08 13:16:55.306182,2023-04-08 13:16:57.465969,0 days 00:00:02.159787,True,7.2562596905980055,entropy,24,5,2,134,COMPLETE
53,53,0.733393132647676,2023-04-08 13:16:57.467962,2023-04-08 13:17:01.062905,0 days 00:00:03.594943,True,8.335230891115991,gini,22,9,4,210,COMPLETE
54,54,0.7452438870490825,2023-04-08 13:17:01.064413,2023-04-08 13:17:04.923153,0 days 00:00:03.858740,True,5.184885458775252,entropy,27,19,13,152,COMPLETE
55,55,0.7152039710985554,2023-04-08 13:17:04.925146,2023-04-08 13:17:08.711040,0 days 00:00:03.785894,True,5.3749473054321655,entropy,30,19,9,158,COMPLETE
