,number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,state
0,0,0.5,2023-04-08 13:12:10.723039,2023-04-08 13:12:11.775284,0 days 00:00:01.052245,5.547214516668557,19.72040734454545,3.72049331525789,rbf,COMPLETE
1,1,0.6577493941779727,2023-04-08 13:12:11.776791,2023-04-08 13:12:12.194395,0 days 00:00:00.417604,11.572531643364668,10.391976517948855,0.05175378227154889,sigmoid,COMPLETE
2,2,0.5,2023-04-08 13:12:12.195897,2023-04-08 13:12:12.672776,0 days 00:00:00.476879,0.00042559541939995934,15.35991265402384,12.270462317442668,sigmoid,COMPLETE
3,3,0.5,2023-04-08 13:12:12.674284,2023-04-08 13:12:13.183825,0 days 00:00:00.509541,0.1412924845521156,10.802219764115321,1.6346671084426123e-05,poly,COMPLETE
4,4,0.5,2023-04-08 13:12:13.185332,2023-04-08 13:12:14.009942,0 days 00:00:00.824610,0.0005491776220453061,5.099893508585184,0.0015002378989544356,rbf,COMPLETE
5,5,0.5,2023-04-08 13:12:14.011434,2023-04-08 13:12:14.555666,0 days 00:00:00.544232,0.003991014013532934,19.037585091395904,0.014633322469188676,sigmoid,COMPLETE
6,6,0.5,2023-04-08 13:12:14.557666,2023-04-08 13:12:15.470225,0 days 00:00:00.912559,0.043262842714766075,9.109284910357276,2.7225159709370947,rbf,COMPLETE
7,7,0.5,2023-04-08 13:12:15.471715,2023-04-08 13:12:16.291822,0 days 00:00:00.820107,5.00679640435864e-05,16.275622365406026,0.1883334356092578,rbf,COMPLETE
8,8,0.4992948682557727,2023-04-08 13:12:16.293329,2023-04-08 13:12:16.947090,0 days 00:00:00.653761,15.065072713913187,4.6393277625391605,0.22895069114318314,sigmoid,COMPLETE
9,9,0.5,2023-04-08 13:12:16.948597,2023-04-08 13:12:17.712907,0 days 00:00:00.764310,0.00024515286892477935,15.345172915877267,1.107109477886828,sigmoid,COMPLETE
