,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0,0.7157495920453492,2023-04-10 20:05:13.501900,2023-04-10 20:05:45.825528,0 days 00:00:32.323628,2.558093330608396e-07,dart,0.5793498697193393,0.0001380693327315852,1.3435246631297582e-07,depthwise,2.8498996326576875e-07,7,4,forest,0.0006703622276892519,uniform,8.756227987766684e-06,0.30014484313588863,COMPLETE
1,1,0.73821207388334,2023-04-10 20:05:45.827529,2023-04-10 20:05:47.534670,0 days 00:00:01.707141,7.64540230148692e-06,gbtree,0.29158544095969585,0.016826323820493913,0.05513688425417915,lossguide,0.00029762551423984237,5,2,,,,,0.3621257783378582,COMPLETE
2,2,0.7325120821132745,2023-04-10 20:05:47.538669,2023-04-10 20:05:49.011789,0 days 00:00:01.473120,8.262669432951545e-08,gbtree,0.20233021143631938,0.12151416907598511,3.5742261708304013e-06,lossguide,0.6652094456128205,7,2,,,,,0.39004859464274366,COMPLETE
3,3,0.7148544887036742,2023-04-10 20:05:49.014788,2023-04-10 20:06:18.659201,0 days 00:00:29.644413,0.42086576815172017,dart,0.7826190174929726,4.646869212809334e-05,1.8367482649488671e-07,depthwise,0.0021303036666249025,1,6,tree,0.01664762452959757,weighted,0.10820164915312828,0.6544746633461269,COMPLETE
4,4,0.7192292910656416,2023-04-10 20:06:18.661201,2023-04-10 20:06:20.054315,0 days 00:00:01.393114,0.00030248337714491673,gbtree,0.5994481229997419,2.9681615849554078e-08,0.28568381366238055,lossguide,5.1294602437773955e-06,3,6,,,,,0.9712777108453801,COMPLETE
5,5,0.7548139730344803,2023-04-10 20:06:20.057315,2023-04-10 20:06:36.988694,0 days 00:00:16.931379,0.02605792117510153,dart,0.39739250577050056,0.3113825757070927,1.9089082910479185e-08,depthwise,0.0020249607512954062,9,5,tree,0.4996654665948402,uniform,0.09729089991445154,0.5355510899562601,COMPLETE
6,6,0.7240679180198674,2023-04-10 20:06:36.991693,2023-04-10 20:07:05.678029,0 days 00:00:28.686336,1.2857567590263215e-07,dart,0.5053410625064172,4.274637980202991e-05,2.1805504253299854e-08,depthwise,1.1006621386990643e-07,3,2,tree,1.0383537233125763e-07,uniform,0.00011741574776260685,0.7371632828427661,COMPLETE
7,7,0.7268218160321379,2023-04-10 20:07:05.680029,2023-04-10 20:07:07.258158,0 days 00:00:01.578129,0.058114107145505176,gbtree,0.7040120827472105,0.005026737381771468,5.0842043701092636e-05,lossguide,1.3154427583821448e-07,7,6,,,,,0.20991165576463217,COMPLETE
8,8,0.70472118619532,2023-04-10 20:07:07.260157,2023-04-10 20:07:09.048302,0 days 00:00:01.788145,8.667454329557166e-07,gbtree,0.5445348325286627,0.0016285975424960527,3.3319744811487823e-06,lossguide,1.9870470721990217e-08,6,10,,,,,0.42032230043714647,COMPLETE
9,9,0.7185250080043404,2023-04-10 20:07:09.051303,2023-04-10 20:07:35.712473,0 days 00:00:26.661170,1.878730543481114e-05,dart,0.4308871721350482,1.634275488546585e-08,3.07289777343673e-06,depthwise,0.05461079662619784,9,7,tree,0.002330458042358787,uniform,8.79669194681605e-05,0.23964665443659064,COMPLETE
