,number,value,datetime_start,datetime_complete,duration,params_class_weight,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,state
0,0,0.5952223995423996,2023-04-11 15:16:53.253803,2023-04-11 15:16:53.444817,0 days 00:00:00.191014,8.713688577092977,87,7,84,99,random,COMPLETE
1,1,0.6658482572006246,2023-04-11 15:16:53.446818,2023-04-11 15:16:53.741822,0 days 00:00:00.295004,6.4347938556590645,11,46,92,92,best,COMPLETE
2,2,0.6017158050805856,2023-04-11 15:16:53.743824,2023-04-11 15:16:53.877832,0 days 00:00:00.134008,3.922015717903885,58,3,45,47,random,COMPLETE
3,3,0.6498581432979453,2023-04-11 15:16:53.879834,2023-04-11 15:16:54.054865,0 days 00:00:00.175031,9.900928003460452,88,98,70,37,random,COMPLETE
4,4,0.6630058886173752,2023-04-11 15:16:54.055866,2023-04-11 15:16:54.380893,0 days 00:00:00.325027,4.095600312893782,9,46,32,80,best,COMPLETE
5,5,0.6538801960407825,2023-04-11 15:16:54.383892,2023-04-11 15:16:54.572918,0 days 00:00:00.189026,9.809121926937644,54,50,41,97,random,COMPLETE
6,6,0.6130923013384693,2023-04-11 15:16:54.574919,2023-04-11 15:16:54.700945,0 days 00:00:00.126026,13.481232729162686,6,19,100,31,best,COMPLETE
7,7,0.6102094655337252,2023-04-11 15:16:54.703945,2023-04-11 15:16:54.944810,0 days 00:00:00.240865,18.30368293618288,70,39,17,58,best,COMPLETE
8,8,0.623714506697143,2023-04-11 15:16:54.946808,2023-04-11 15:16:55.141843,0 days 00:00:00.195035,2.7836104797246053,62,19,71,45,random,COMPLETE
9,9,0.5899400071876697,2023-04-11 15:16:55.143828,2023-04-11 15:16:55.448866,0 days 00:00:00.305038,17.436335699094435,37,87,1,12,best,COMPLETE
10,10,0.6750020829322092,2023-04-11 15:16:55.450867,2023-04-11 15:16:55.642892,0 days 00:00:00.192025,6.1816946862537225,29,70,99,73,best,COMPLETE
11,11,0.6828715502676814,2023-04-11 15:16:55.644863,2023-04-11 15:16:55.848883,0 days 00:00:00.204020,6.375447609627789,29,72,98,71,best,COMPLETE
12,12,0.6128074345559231,2023-04-11 15:16:55.850881,2023-04-11 15:16:56.059898,0 days 00:00:00.209017,1.424622140511695,32,73,73,67,best,COMPLETE
13,13,0.6822148785844176,2023-04-11 15:16:56.060897,2023-04-11 15:16:56.514651,0 days 00:00:00.453754,5.543034382656089,29,71,100,74,best,COMPLETE
14,14,0.6409300034057999,2023-04-11 15:16:56.529655,2023-04-11 15:16:57.277157,0 days 00:00:00.747502,6.917757945102638,24,67,63,82,best,COMPLETE
15,15,0.6227381940962085,2023-04-11 15:16:57.280172,2023-04-11 15:16:57.547191,0 days 00:00:00.267019,12.440535382704567,44,83,83,59,best,COMPLETE
16,16,0.6565716101477317,2023-04-11 15:16:57.549178,2023-04-11 15:16:57.785197,0 days 00:00:00.236019,5.0693162813782005,17,99,57,70,best,COMPLETE
17,17,0.6478105554059927,2023-04-11 15:16:57.787199,2023-04-11 15:16:58.022217,0 days 00:00:00.235018,1.9011416458466517,44,57,84,87,best,COMPLETE
18,18,0.6557588990877069,2023-04-11 15:16:58.025216,2023-04-11 15:16:58.329260,0 days 00:00:00.304044,7.677783878549823,22,61,87,19,best,COMPLETE
19,19,0.6387635448335935,2023-04-11 15:16:58.331257,2023-04-11 15:16:58.600259,0 days 00:00:00.269002,4.993740160172106,71,82,28,59,best,COMPLETE
20,20,0.6516096837085812,2023-04-11 15:16:58.602272,2023-04-11 15:16:58.847299,0 days 00:00:00.245027,8.120365775501892,41,33,100,76,best,COMPLETE
21,21,0.6729775451519765,2023-04-11 15:16:58.849299,2023-04-11 15:16:59.041297,0 days 00:00:00.191998,5.957019434268807,27,70,96,72,best,COMPLETE
22,22,0.6768178376855607,2023-04-11 15:16:59.043314,2023-04-11 15:16:59.383326,0 days 00:00:00.340012,3.1984770165562795,33,78,77,65,best,COMPLETE
23,23,0.6717498249779581,2023-04-11 15:16:59.385330,2023-04-11 15:16:59.738351,0 days 00:00:00.353021,3.5126420893426205,17,78,77,63,best,COMPLETE
24,24,0.6010604394555081,2023-04-11 15:16:59.741351,2023-04-11 15:17:00.005373,0 days 00:00:00.264022,1.0703799500364033,34,91,91,54,best,COMPLETE
25,25,0.682826544549832,2023-04-11 15:17:00.008374,2023-04-11 15:17:00.278414,0 days 00:00:00.270040,2.5126655626030288,50,61,79,89,best,COMPLETE
26,26,0.6696159713074723,2023-04-11 15:17:00.280394,2023-04-11 15:17:00.462451,0 days 00:00:00.182057,5.280688638978855,48,60,64,88,random,COMPLETE
27,27,0.6647630987580563,2023-04-11 15:17:00.464410,2023-04-11 15:17:00.688428,0 days 00:00:00.224018,2.5864914225249516,69,58,91,83,best,COMPLETE
28,28,0.6682557902259951,2023-04-11 15:17:00.690427,2023-04-11 15:17:01.062476,0 days 00:00:00.372049,4.553457222253062,52,66,55,92,best,COMPLETE
29,29,0.6690055209857144,2023-04-11 15:17:01.065479,2023-04-11 15:17:01.381487,0 days 00:00:00.316008,7.876444905762112,18,55,81,100,random,COMPLETE
30,30,0.6454371292302412,2023-04-11 15:17:01.384485,2023-04-11 15:17:01.645505,0 days 00:00:00.261020,2.0375310506926745,97,37,89,79,best,COMPLETE
31,31,0.6612224533559227,2023-04-11 15:17:01.647504,2023-04-11 15:17:01.921546,0 days 00:00:00.274042,3.6148450894379622,36,77,80,65,best,COMPLETE
32,32,0.6886649704098338,2023-04-11 15:17:01.923546,2023-04-11 15:17:02.116543,0 days 00:00:00.192997,3.2276447786192,2,92,94,92,best,COMPLETE
33,33,0.6652352161031325,2023-04-11 15:17:02.118543,2023-04-11 15:17:02.374569,0 days 00:00:00.256026,6.806908314629515,12,93,94,94,best,COMPLETE
34,34,0.6766468416650213,2023-04-11 15:17:02.376582,2023-04-11 15:17:02.573599,0 days 00:00:00.197017,4.781765722302688,81,64,94,87,best,COMPLETE
35,35,0.6220770110679623,2023-04-11 15:17:02.575605,2023-04-11 15:17:02.806616,0 days 00:00:00.231011,2.7022840332536204,2,89,87,92,random,COMPLETE
