,number,value,datetime_start,datetime_complete,duration,params_leaf_size,params_n_neighbors,params_p,state
0,0,0.5724956044193592,2023-04-11 15:17:19.969561,2023-04-11 15:17:20.583597,0 days 00:00:00.614036,35,7,1,COMPLETE
1,1,0.5317123614121597,2023-04-11 15:17:20.586599,2023-04-11 15:17:21.049193,0 days 00:00:00.462594,39,23,2,COMPLETE
2,2,0.5747397444169906,2023-04-11 15:17:21.051193,2023-04-11 15:17:21.531231,0 days 00:00:00.480038,9,12,1,COMPLETE
3,3,0.557132808064284,2023-04-11 15:17:21.533232,2023-04-11 15:17:21.996269,0 days 00:00:00.463037,58,11,2,COMPLETE
4,4,0.5492994411167468,2023-04-11 15:17:21.999269,2023-04-11 15:17:22.450306,0 days 00:00:00.451037,25,14,2,COMPLETE
5,5,0.5661261075016508,2023-04-11 15:17:22.452305,2023-04-11 15:17:22.976347,0 days 00:00:00.524042,14,22,1,COMPLETE
6,6,0.5702625882548297,2023-04-11 15:17:22.978348,2023-04-11 15:17:23.423383,0 days 00:00:00.445035,6,7,2,COMPLETE
7,7,0.5452536774041364,2023-04-11 15:17:23.426384,2023-04-11 15:17:23.960426,0 days 00:00:00.534042,3,21,1,COMPLETE
8,8,0.5546668161828309,2023-04-11 15:17:23.962427,2023-04-11 15:17:24.492469,0 days 00:00:00.530042,45,25,1,COMPLETE
9,9,0.5295631246155782,2023-04-11 15:17:24.495472,2023-04-11 15:17:25.004632,0 days 00:00:00.509160,7,29,2,COMPLETE
10,10,0.5653475233459351,2023-04-11 15:17:25.006633,2023-04-11 15:17:25.541066,0 days 00:00:00.534433,23,16,1,COMPLETE
11,11,0.5743599987107137,2023-04-11 15:17:25.543067,2023-04-11 15:17:26.063138,0 days 00:00:00.520071,36,3,1,COMPLETE
12,12,0.6109168568742693,2023-04-11 15:17:26.065140,2023-04-11 15:17:26.578180,0 days 00:00:00.513040,47,2,1,COMPLETE
13,13,0.6073173109598061,2023-04-11 15:17:26.580182,2023-04-11 15:17:27.106222,0 days 00:00:00.526040,55,2,1,COMPLETE
14,14,0.5795832602326475,2023-04-11 15:17:27.108224,2023-04-11 15:17:27.641265,0 days 00:00:00.533041,57,2,1,COMPLETE
15,15,0.5940312066234732,2023-04-11 15:17:27.643265,2023-04-11 15:17:28.205311,0 days 00:00:00.562046,49,6,1,COMPLETE
16,16,0.5964702203601727,2023-04-11 15:17:28.207311,2023-04-11 15:17:28.730352,0 days 00:00:00.523041,49,2,1,COMPLETE
17,17,0.5590894439086767,2023-04-11 15:17:28.732353,2023-04-11 15:17:29.281143,0 days 00:00:00.548790,53,9,1,COMPLETE
18,18,0.5822821408334888,2023-04-11 15:17:29.283143,2023-04-11 15:17:29.825187,0 days 00:00:00.542044,42,5,1,COMPLETE
19,19,0.5709205020277512,2023-04-11 15:17:29.828187,2023-04-11 15:17:30.396232,0 days 00:00:00.568045,30,18,1,COMPLETE
20,20,0.5300174366750079,2023-04-11 15:17:30.399234,2023-04-11 15:17:30.962277,0 days 00:00:00.563043,60,31,2,COMPLETE
21,21,0.5991211085902541,2023-04-11 15:17:30.965279,2023-04-11 15:17:31.552324,0 days 00:00:00.587045,48,2,1,COMPLETE
22,22,0.5959625196383845,2023-04-11 15:17:31.554325,2023-04-11 15:17:32.140371,0 days 00:00:00.586046,52,4,1,COMPLETE
