,number,value,datetime_start,datetime_complete,duration,params_alpha,params_binarize,params_fit_prior,state
0,0,0.6025556113574632,2023-04-11 15:24:31.344715,2023-04-11 15:24:31.561730,0 days 00:00:00.217015,0.6670392678817731,0.026225908163716043,True,COMPLETE
1,1,0.6803346582687919,2023-04-11 15:24:31.564205,2023-04-11 15:24:31.774730,0 days 00:00:00.210525,0.17071623972833422,0.5976752992047198,False,COMPLETE
2,2,0.5969407257078434,2023-04-11 15:24:31.776728,2023-04-11 15:24:31.996746,0 days 00:00:00.220018,0.0016503022877951937,0.013297464318378874,True,COMPLETE
3,3,0.5949745604037641,2023-04-11 15:24:31.998747,2023-04-11 15:24:32.182781,0 days 00:00:00.184034,0.8042890285873693,0.17884577710632843,True,COMPLETE
4,4,0.6113621858362531,2023-04-11 15:24:32.184761,2023-04-11 15:24:32.349795,0 days 00:00:00.165034,0.010225826971350228,0.9264359567542384,True,COMPLETE
5,5,0.6013218162825795,2023-04-11 15:24:32.351780,2023-04-11 15:24:32.625799,0 days 00:00:00.274019,0.003099500572438106,0.0022213731314315614,True,COMPLETE
6,6,0.5919665854220669,2023-04-11 15:24:32.628798,2023-04-11 15:24:32.831828,0 days 00:00:00.203030,0.1707128270006423,0.0015961293575730783,True,COMPLETE
7,7,0.6733372978246429,2023-04-11 15:24:32.833818,2023-04-11 15:24:33.049830,0 days 00:00:00.216012,0.0024770317410811897,0.307222630910888,True,COMPLETE
8,8,0.6390397288858479,2023-04-11 15:24:33.051834,2023-04-11 15:24:33.259847,0 days 00:00:00.208013,0.10808422151749227,0.1631570315954715,False,COMPLETE
9,9,0.6486500406891886,2023-04-11 15:24:33.261851,2023-04-11 15:24:33.431865,0 days 00:00:00.170014,0.28824539544450845,0.003344004156003995,False,COMPLETE
10,10,0.6425033554484065,2023-04-11 15:24:33.433877,2023-04-11 15:24:33.636878,0 days 00:00:00.203001,0.04251087599954823,0.06867362457737476,False,COMPLETE
11,11,0.6411106281367835,2023-04-11 15:24:33.639880,2023-04-11 15:24:33.852894,0 days 00:00:00.213014,0.017795659237441336,0.9682204604294712,False,COMPLETE
12,12,0.6751560111572625,2023-04-11 15:24:33.854895,2023-04-11 15:24:34.046910,0 days 00:00:00.192015,0.0010600178367521586,0.3373291857351594,False,COMPLETE
13,13,0.662596842057956,2023-04-11 15:24:34.048910,2023-04-11 15:24:34.269929,0 days 00:00:00.221019,0.007299672997744442,0.4509693058156377,False,COMPLETE
14,14,0.6619335063566015,2023-04-11 15:24:34.272928,2023-04-11 15:24:34.456945,0 days 00:00:00.184017,0.0010062316678674749,0.08807618715727314,False,COMPLETE
15,15,0.655003276189899,2023-04-11 15:24:34.458944,2023-04-11 15:24:34.665960,0 days 00:00:00.207016,0.04765063026989815,0.4162752379757291,False,COMPLETE
16,16,0.6414039132367877,2023-04-11 15:24:34.668967,2023-04-11 15:24:34.884979,0 days 00:00:00.216012,0.005023602828852526,0.9141971045380313,False,COMPLETE
17,17,0.6358738157207602,2023-04-11 15:24:34.887980,2023-04-11 15:24:35.121998,0 days 00:00:00.234018,0.02237482742318029,0.1980261614078508,False,COMPLETE
18,18,0.6478515231188182,2023-04-11 15:24:35.123997,2023-04-11 15:24:35.315011,0 days 00:00:00.191014,0.004702216619272359,0.0756124269704543,False,COMPLETE
19,19,0.6463583928186851,2023-04-11 15:24:35.317013,2023-04-11 15:24:35.547031,0 days 00:00:00.230018,0.09149294965582574,0.44508247098971204,False,COMPLETE
20,20,0.6474264252244843,2023-04-11 15:24:35.550031,2023-04-11 15:24:35.719045,0 days 00:00:00.169014,0.013297619582486092,0.040633587090100606,False,COMPLETE
21,21,0.6693400455443947,2023-04-11 15:24:35.721045,2023-04-11 15:24:35.938063,0 days 00:00:00.217018,0.0023196565305179254,0.2847223741575298,True,COMPLETE
22,22,0.6568662116315457,2023-04-11 15:24:35.941063,2023-04-11 15:24:36.115075,0 days 00:00:00.174012,0.0010126654968818905,0.4820722735548882,True,COMPLETE
23,23,0.6027637111776369,2023-04-11 15:24:36.117076,2023-04-11 15:24:36.314091,0 days 00:00:00.197015,0.0023438883389582344,0.13256024029884117,True,COMPLETE
24,24,0.6466699634561752,2023-04-11 15:24:36.316106,2023-04-11 15:24:36.546111,0 days 00:00:00.230005,0.0040057797541810285,0.2507813872025321,False,COMPLETE
25,25,0.6729143200859771,2023-04-11 15:24:36.549112,2023-04-11 15:24:36.756129,0 days 00:00:00.207017,0.0069752290660726355,0.2800865522305802,False,COMPLETE
26,26,0.6681953480689795,2023-04-11 15:24:36.758129,2023-04-11 15:24:36.943143,0 days 00:00:00.185014,0.0017172133097464607,0.5145942712419903,True,COMPLETE
27,27,0.6583746930591353,2023-04-11 15:24:36.946144,2023-04-11 15:24:37.123159,0 days 00:00:00.177015,0.0355997842193848,0.11867522125386641,False,COMPLETE
28,28,0.6483495496595576,2023-04-11 15:24:37.125169,2023-04-11 15:24:37.346178,0 days 00:00:00.221009,0.0014016496826412953,0.6975138627914941,True,COMPLETE
29,29,0.6707730024792731,2023-04-11 15:24:37.348181,2023-04-11 15:24:37.601198,0 days 00:00:00.253017,0.5414374899141763,0.34004645494121616,True,COMPLETE
30,30,0.6359028656610725,2023-04-11 15:24:37.603211,2023-04-11 15:24:37.808216,0 days 00:00:00.205005,0.003058104815865242,0.2284166050968051,False,COMPLETE
31,31,0.6694512511222379,2023-04-11 15:24:37.810213,2023-04-11 15:24:38.032230,0 days 00:00:00.222017,0.007511511685441294,0.6259614366180599,False,COMPLETE
32,32,0.6487615953346693,2023-04-11 15:24:38.033230,2023-04-11 15:24:38.259252,0 days 00:00:00.226022,0.001633100373936814,0.3084631803709446,False,COMPLETE
33,33,0.6463752171650365,2023-04-11 15:24:38.263249,2023-04-11 15:24:38.466263,0 days 00:00:00.203014,0.0023624227937307078,0.21791219833253317,False,COMPLETE
34,34,0.6688351556021924,2023-04-11 15:24:38.468265,2023-04-11 15:24:38.674283,0 days 00:00:00.206018,0.006553322824533337,0.6289444490983118,False,COMPLETE
35,35,0.6558820511020833,2023-04-11 15:24:38.676282,2023-04-11 15:24:38.866297,0 days 00:00:00.190015,0.012019689729484808,0.3509582120779464,True,COMPLETE
36,36,0.6027637111776369,2023-04-11 15:24:38.868300,2023-04-11 15:24:39.088313,0 days 00:00:00.220013,0.00361053049891885,0.13157018826237235,True,COMPLETE
37,37,0.6468053752726999,2023-04-11 15:24:39.092317,2023-04-11 15:24:39.310333,0 days 00:00:00.218016,0.009673466361264921,0.2810729751880906,False,COMPLETE
38,38,0.610774929043189,2023-04-11 15:24:39.312345,2023-04-11 15:24:39.504367,0 days 00:00:00.192022,0.005367463974601199,0.17055790124214,True,COMPLETE
39,39,0.6480873893706756,2023-04-11 15:24:39.507369,2023-04-11 15:24:39.708366,0 days 00:00:00.200997,0.003332235294690208,0.019312391543096153,False,COMPLETE
40,40,0.6799869025046027,2023-04-11 15:24:39.710365,2023-04-11 15:24:40.014388,0 days 00:00:00.304023,0.0013658312914984342,0.7199501563954116,False,COMPLETE
41,41,0.6738027063997933,2023-04-11 15:24:40.018390,2023-04-11 15:24:40.257408,0 days 00:00:00.239018,0.0014281356606318297,0.7249780537192805,False,COMPLETE
42,42,0.6415993702568633,2023-04-11 15:24:40.259429,2023-04-11 15:24:40.457429,0 days 00:00:00.198000,0.001416184104933371,0.9618289496796706,False,COMPLETE
43,43,0.6534184010781974,2023-04-11 15:24:40.460425,2023-04-11 15:24:40.689443,0 days 00:00:00.229018,0.0012720794608312865,0.6261617300512388,False,COMPLETE
44,44,0.6673426091411916,2023-04-11 15:24:40.691443,2023-04-11 15:24:40.909459,0 days 00:00:00.218016,0.0010019400614834112,0.744548178227322,False,COMPLETE
45,45,0.6456411756413463,2023-04-11 15:24:40.912460,2023-04-11 15:24:41.097476,0 days 00:00:00.185016,0.00208671668058038,0.40499640405174503,False,COMPLETE
46,46,0.6590570976285861,2023-04-11 15:24:41.099476,2023-04-11 15:24:41.259488,0 days 00:00:00.160012,0.0020772051627778055,0.7598083576093245,False,COMPLETE
47,47,0.6728636445180141,2023-04-11 15:24:41.261489,2023-04-11 15:24:41.435502,0 days 00:00:00.174013,0.002903493772192271,0.5183487294931269,False,COMPLETE
48,48,0.6020724230982359,2023-04-11 15:24:41.437504,2023-04-11 15:24:41.620534,0 days 00:00:00.183030,0.0017328128761108094,0.9124306192557952,True,COMPLETE
49,49,0.6726816553204671,2023-04-11 15:24:41.622521,2023-04-11 15:24:41.800533,0 days 00:00:00.178012,0.0013623762510419834,0.3826966382099363,False,COMPLETE
50,50,0.6672418098591215,2023-04-11 15:24:41.802533,2023-04-11 15:24:42.002547,0 days 00:00:00.200014,0.0026215990245107472,0.5503806790597262,False,COMPLETE
51,51,0.67462778756021,2023-04-11 15:24:42.005564,2023-04-11 15:24:42.236573,0 days 00:00:00.231009,0.0034863077915508515,0.32422566841461875,False,COMPLETE
52,52,0.6649786684603722,2023-04-11 15:24:42.239567,2023-04-11 15:24:42.474586,0 days 00:00:00.235019,0.004206973159935153,0.4416217583038773,False,COMPLETE
53,53,0.661599296810938,2023-04-11 15:24:42.477587,2023-04-11 15:24:42.656602,0 days 00:00:00.179015,0.0018966481109113078,0.20792785983163145,False,COMPLETE
54,54,0.6434727948390364,2023-04-11 15:24:42.658601,2023-04-11 15:24:42.819614,0 days 00:00:00.161013,0.0010628502211470884,0.7651656570649215,False,COMPLETE
55,55,0.6415993702568633,2023-04-11 15:24:42.821612,2023-04-11 15:24:43.027631,0 days 00:00:00.206019,0.0013031665098872378,0.9624546855879298,False,COMPLETE
56,56,0.6430965652456642,2023-04-11 15:24:43.029631,2023-04-11 15:24:43.241647,0 days 00:00:00.212016,0.002824494424244342,0.31474881634738366,False,COMPLETE
57,57,0.6748884848479065,2023-04-11 15:24:43.243647,2023-04-11 15:24:43.442663,0 days 00:00:00.199016,0.0017421667216958056,0.4722177616505071,True,COMPLETE
58,58,0.653297415658009,2023-04-11 15:24:43.444663,2023-04-11 15:24:43.646681,0 days 00:00:00.202018,0.0015471675678508162,0.5077017737035794,True,COMPLETE
59,59,0.6614963320582794,2023-04-11 15:24:43.648697,2023-04-11 15:24:43.866701,0 days 00:00:00.218004,0.001965943960558379,0.3914316868145365,False,COMPLETE
60,60,0.6716322353601584,2023-04-11 15:24:43.869699,2023-04-11 15:24:44.104718,0 days 00:00:00.235019,0.003943613415819131,0.5581854372418337,False,COMPLETE
61,61,0.5905546109076127,2023-04-11 15:24:44.108717,2023-04-11 15:24:44.329735,0 days 00:00:00.221018,0.002439700193022713,0.2478595964955428,True,COMPLETE
62,62,0.6750048359896553,2023-04-11 15:24:44.330747,2023-04-11 15:24:44.553758,0 days 00:00:00.223011,0.0011341546671249287,0.367185264617948,True,COMPLETE
63,63,0.6511041159616996,2023-04-11 15:24:44.555777,2023-04-11 15:24:44.753779,0 days 00:00:00.198002,0.0012299917854154264,0.7443824707381733,True,COMPLETE
64,64,0.610774929043189,2023-04-11 15:24:44.756773,2023-04-11 15:24:44.964785,0 days 00:00:00.208012,0.0016771589584629364,0.16928818271945023,True,COMPLETE
65,65,0.6781144184029962,2023-04-11 15:24:44.966785,2023-04-11 15:24:45.173802,0 days 00:00:00.207017,0.001131020528620533,0.38077045079118554,True,COMPLETE
66,66,0.6699342561254733,2023-04-11 15:24:45.175802,2023-04-11 15:24:45.398827,0 days 00:00:00.223025,0.0011747780241846808,0.3320653783355559,True,COMPLETE
67,67,0.6629562957420588,2023-04-11 15:24:45.399822,2023-04-11 15:24:45.593853,0 days 00:00:00.194031,0.0010489554920784868,0.44049201510916886,True,COMPLETE
68,68,0.6724770096880694,2023-04-11 15:24:45.595836,2023-04-11 15:24:45.804854,0 days 00:00:00.209018,0.0017469975819772404,0.26298551170334045,True,COMPLETE
69,69,0.5877882704573747,2023-04-11 15:24:45.807854,2023-04-11 15:24:46.047874,0 days 00:00:00.240020,0.002057484360807582,0.20005866079644855,True,COMPLETE
70,70,0.6713622288744971,2023-04-11 15:24:46.049888,2023-04-11 15:24:46.299894,0 days 00:00:00.250006,0.001212589201083539,0.34253211417145724,True,COMPLETE
71,71,0.6603559856541491,2023-04-11 15:24:46.301893,2023-04-11 15:24:46.601916,0 days 00:00:00.300023,0.0015090831028873111,0.4815653097499301,True,COMPLETE
72,72,0.6595643515356654,2023-04-11 15:24:46.603919,2023-04-11 15:24:46.794949,0 days 00:00:00.191030,0.001259248248670873,0.635401155911047,True,COMPLETE
73,73,0.6591840495597381,2023-04-11 15:24:46.797950,2023-04-11 15:24:47.023970,0 days 00:00:00.226020,0.001476417627479193,0.3883592823098651,False,COMPLETE
74,74,0.665921107406297,2023-04-11 15:24:47.026952,2023-04-11 15:24:47.271971,0 days 00:00:00.245019,0.0032744185200865215,0.5783549386217094,False,COMPLETE
75,75,0.6793477053633585,2023-04-11 15:24:47.274971,2023-04-11 15:24:47.493004,0 days 00:00:00.218033,0.0010100356377080674,0.2699917733325548,True,COMPLETE
76,76,0.5895590892859272,2023-04-11 15:24:47.495003,2023-04-11 15:24:47.694004,0 days 00:00:00.199001,0.0010740536606298763,0.234960530099548,True,COMPLETE
77,77,0.6794238060010913,2023-04-11 15:24:47.696005,2023-04-11 15:24:47.912022,0 days 00:00:00.216017,0.0024705680907577384,0.2986017424865534,True,COMPLETE
78,78,0.6072100018918384,2023-04-11 15:24:47.914038,2023-04-11 15:24:48.174043,0 days 00:00:00.260005,0.002361780642515836,0.14949993470947465,True,COMPLETE
79,79,0.6713603729169185,2023-04-11 15:24:48.176044,2023-04-11 15:24:48.351058,0 days 00:00:00.175014,0.0010183874673641868,0.2635001279634217,True,COMPLETE
80,80,0.5981414276553108,2023-04-11 15:24:48.353061,2023-04-11 15:24:48.563092,0 days 00:00:00.210031,0.0018375028894103411,0.09825028871153775,True,COMPLETE
81,81,0.6735747957059461,2023-04-11 15:24:48.566074,2023-04-11 15:24:48.809093,0 days 00:00:00.243019,0.0015905369090314402,0.2954612435302689,True,COMPLETE
82,82,0.6615866050666865,2023-04-11 15:24:48.811094,2023-04-11 15:24:49.024110,0 days 00:00:00.213016,0.0026703703854046904,0.3706089170935257,True,COMPLETE
83,83,0.6742439451906324,2023-04-11 15:24:49.026130,2023-04-11 15:24:49.244131,0 days 00:00:00.218001,0.0019749376255314938,0.4475421712743553,True,COMPLETE
84,84,0.5923005277434747,2023-04-11 15:24:49.248134,2023-04-11 15:24:49.495148,0 days 00:00:00.247014,0.0012661067750855994,0.2099326409594002,True,COMPLETE
85,85,0.6019533819614986,2023-04-11 15:24:49.497150,2023-04-11 15:24:49.673163,0 days 00:00:00.176013,0.0022357603475178043,0.1826067419193803,True,COMPLETE
86,86,0.6722915618178286,2023-04-11 15:24:49.675163,2023-04-11 15:24:49.828182,0 days 00:00:00.153019,0.0029957183468882916,0.3050940961789774,True,COMPLETE
87,87,0.650944206319437,2023-04-11 15:24:49.830174,2023-04-11 15:24:49.998189,0 days 00:00:00.168015,0.05376075472785438,0.5138388976929629,True,COMPLETE
88,88,0.6753033481618644,2023-04-11 15:24:49.999190,2023-04-11 15:24:50.211209,0 days 00:00:00.212019,0.0014327195823165524,0.4121039147449828,True,COMPLETE
89,89,0.6584501223806482,2023-04-11 15:24:50.213206,2023-04-11 15:24:50.410226,0 days 00:00:00.197020,0.0015255287925746352,0.427663384219593,True,COMPLETE
90,90,0.6720774677048919,2023-04-11 15:24:50.412237,2023-04-11 15:24:50.644242,0 days 00:00:00.232005,0.0012126992904403834,0.6149435078944687,True,COMPLETE
91,91,0.6784494602531536,2023-04-11 15:24:50.647241,2023-04-11 15:24:50.850274,0 days 00:00:00.203033,0.0017378431574948893,0.34629046502655,True,COMPLETE
92,92,0.6109295059274759,2023-04-11 15:24:50.853264,2023-04-11 15:24:51.066296,0 days 00:00:00.213032,0.00169344770181497,0.8134991615074281,True,COMPLETE
93,93,0.6612529320090483,2023-04-11 15:24:51.068293,2023-04-11 15:24:51.279292,0 days 00:00:00.210999,0.0013715868053565984,0.3705487561997263,True,COMPLETE
94,94,0.6679668469590089,2023-04-11 15:24:51.281291,2023-04-11 15:24:51.478324,0 days 00:00:00.197033,0.0010276699337311516,0.5076298075224862,True,COMPLETE
95,95,0.6417011638733005,2023-04-11 15:24:51.480324,2023-04-11 15:24:51.679324,0 days 00:00:00.199000,0.002176394805918483,0.6524898973051186,True,COMPLETE
96,96,0.6711881769646053,2023-04-11 15:24:51.682327,2023-04-11 15:24:51.892343,0 days 00:00:00.210016,0.0017511797107355857,0.26230970563786904,True,COMPLETE
97,97,0.6224031675988168,2023-04-11 15:24:51.895345,2023-04-11 15:24:52.133359,0 days 00:00:00.238014,0.0014033814361581894,0.8370058083215524,True,COMPLETE
98,98,0.599665256629523,2023-04-11 15:24:52.135359,2023-04-11 15:24:52.354379,0 days 00:00:00.219020,0.001163401857387256,0.23360011013654208,True,COMPLETE
99,99,0.6495851538569071,2023-04-11 15:24:52.357377,2023-04-11 15:24:52.580401,0 days 00:00:00.223024,0.0023817475887142102,0.5688768275970691,True,COMPLETE
