,number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_learning_rate,params_momentum,params_n_layers,params_n_units_0,params_n_units_1,params_power_t,params_solver,state
0,0,0.5032950100746711,2023-04-11 15:52:06.448914,2023-04-11 15:52:37.460482,0 days 00:00:31.011568,tanh,0.33349939418441293,adaptive,0.9075518057705405,2,86,83.0,1.0,adam,COMPLETE
1,1,0.5185716849451134,2023-04-11 15:52:37.463484,2023-04-11 15:52:46.649216,0 days 00:00:09.185732,tanh,0.2542563843164414,adaptive,0.22564415769170498,1,16,,0.9000000000000001,adam,COMPLETE
2,2,0.5045245596200705,2023-04-11 15:52:46.651217,2023-04-11 15:53:14.262559,0 days 00:00:27.611342,tanh,0.06528817440755268,adaptive,0.8190871184418401,1,32,,0.5,sgd,COMPLETE
3,3,0.4998701298701299,2023-04-11 15:53:14.265542,2023-04-11 15:54:01.976319,0 days 00:00:47.710777,tanh,0.031092854712512427,adaptive,0.09543123212696936,1,98,,1.0,sgd,COMPLETE
4,4,0.5,2023-04-11 15:54:01.978319,2023-04-11 15:54:10.986016,0 days 00:00:09.007697,tanh,0.5241269135703777,adaptive,0.23891239573473044,1,29,,0.30000000000000004,adam,COMPLETE
5,5,0.5,2023-04-11 15:54:10.989018,2023-04-11 15:54:18.978204,0 days 00:00:07.989186,tanh,0.5293909618865033,constant,0.7740121755013909,1,26,,0.7,adam,COMPLETE
6,6,0.5,2023-04-11 15:54:18.981187,2023-04-11 15:55:25.559927,0 days 00:01:06.578740,tanh,0.2503022227805392,constant,0.33527392264827627,2,53,80.0,0.8,sgd,COMPLETE
7,7,0.565010148789782,2023-04-11 15:55:25.561918,2023-04-11 15:55:44.706348,0 days 00:00:19.144430,relu,0.06750596347338626,adaptive,0.4588508814621811,1,72,,0.30000000000000004,adam,COMPLETE
8,8,0.5,2023-04-11 15:55:44.710348,2023-04-11 15:55:52.590982,0 days 00:00:07.880634,relu,0.6976307090040172,constant,0.8726363031572306,2,4,20.0,0.8,sgd,COMPLETE
9,9,0.4998711340206185,2023-04-11 15:55:52.593980,2023-04-11 15:56:04.857656,0 days 00:00:12.263676,tanh,0.1847499507499649,constant,0.4721886704578039,1,17,,0.9000000000000001,sgd,COMPLETE
10,10,0.5,2023-04-11 15:56:04.860642,2023-04-11 15:56:31.518329,0 days 00:00:26.657687,relu,0.9586514861032642,adaptive,0.6172533777340435,2,66,1.0,0.2,adam,COMPLETE
11,11,0.5713468377628405,2023-04-11 15:56:31.521327,2023-04-11 15:56:48.574276,0 days 00:00:17.052949,relu,0.02579652059065679,adaptive,0.034802588665327594,1,70,,0.5,adam,COMPLETE
12,12,0.5298971036665322,2023-04-11 15:56:48.578278,2023-04-11 15:57:03.203305,0 days 00:00:14.625027,relu,0.04856546957824863,adaptive,0.01408224031264238,1,71,,0.5,adam,COMPLETE
13,13,0.53893884471947,2023-04-11 15:57:03.205319,2023-04-11 15:57:18.865399,0 days 00:00:15.660080,relu,0.1535925981279605,adaptive,0.4397606179886292,1,74,,0.4,adam,COMPLETE
14,14,0.5035087719298246,2023-04-11 15:57:18.867397,2023-04-11 15:57:35.200586,0 days 00:00:16.333189,relu,0.34673506006090343,adaptive,0.6140208812496801,1,55,,0.2,adam,COMPLETE
15,15,0.5681467008300605,2023-04-11 15:57:35.203586,2023-04-11 15:57:51.979390,0 days 00:00:16.775804,relu,0.026185214589024515,adaptive,0.011866755166932585,1,87,,0.4,adam,COMPLETE
16,16,0.5227719804462093,2023-04-11 15:57:51.982393,2023-04-11 15:58:06.722471,0 days 00:00:14.740078,relu,0.16103945160553476,adaptive,0.000584038467818248,1,100,,0.6000000000000001,adam,COMPLETE
17,17,0.6103534839605235,2023-04-11 15:58:06.725473,2023-04-11 15:58:20.739054,0 days 00:00:14.013581,relu,0.02186750142353677,adaptive,0.14330179217948824,2,85,43.0,0.5,adam,COMPLETE
18,18,0.5,2023-04-11 15:58:20.741055,2023-04-11 15:58:43.371427,0 days 00:00:22.630372,relu,0.3737885353861794,constant,0.16673085603650742,2,85,45.0,0.6000000000000001,adam,COMPLETE
19,19,0.5250603237551666,2023-04-11 15:58:43.374426,2023-04-11 15:59:05.129417,0 days 00:00:21.754991,relu,0.16186215406680568,adaptive,0.12659908859496405,2,44,48.0,0.5,adam,COMPLETE
20,20,0.5876899081159692,2023-04-11 15:59:05.133416,2023-04-11 15:59:19.749704,0 days 00:00:14.616288,relu,0.016176419021170476,adaptive,0.29538719174893513,2,65,30.0,0.7,adam,COMPLETE
21,21,0.5656683144115038,2023-04-11 15:59:19.752705,2023-04-11 15:59:32.628950,0 days 00:00:12.876245,relu,0.024849813217797938,adaptive,0.30812004935449017,2,59,32.0,0.6000000000000001,adam,COMPLETE
22,22,0.5448999405276582,2023-04-11 15:59:32.630963,2023-04-11 15:59:52.875822,0 days 00:00:20.244859,relu,0.11430591451765476,adaptive,0.12236349961182777,2,43,63.0,0.7,adam,COMPLETE
23,23,0.5811843315858091,2023-04-11 15:59:52.877821,2023-04-11 16:00:06.877925,0 days 00:00:14.000104,relu,0.016625814330539612,adaptive,0.23761817577994543,2,82,19.0,0.7,adam,COMPLETE
24,24,0.5422012141488987,2023-04-11 16:00:06.879923,2023-04-11 16:00:20.824592,0 days 00:00:13.944669,relu,0.12382480681884284,adaptive,0.34158047163941524,2,80,21.0,0.7,adam,COMPLETE
25,25,0.5082935419152664,2023-04-11 16:00:20.827592,2023-04-11 16:00:38.407356,0 days 00:00:17.579764,relu,0.22695120516349007,adaptive,0.20679738280052773,2,92,31.0,0.8,adam,COMPLETE
26,26,0.5,2023-04-11 16:00:38.409357,2023-04-11 16:01:04.360436,0 days 00:00:25.951079,relu,0.11401956089207849,constant,0.26576349132928506,2,64,5.0,0.7,sgd,COMPLETE
27,27,0.5485824968324655,2023-04-11 16:01:04.363438,2023-04-11 16:01:19.798552,0 days 00:00:15.435114,relu,0.09669328946305439,adaptive,0.37063776093117146,2,83,34.0,0.4,adam,COMPLETE
28,28,0.5873660052391425,2023-04-11 16:01:19.800552,2023-04-11 16:01:34.422076,0 days 00:00:14.621524,relu,0.012412947745253426,adaptive,0.17912065322501036,2,78,63.0,0.6000000000000001,adam,COMPLETE
29,29,0.5,2023-04-11 16:01:34.425082,2023-04-11 16:01:54.133196,0 days 00:00:19.708114,relu,0.2914336782458656,adaptive,0.169440493252458,2,94,66.0,0.6000000000000001,adam,COMPLETE
30,30,0.5198965847819574,2023-04-11 16:01:54.136179,2023-04-11 16:02:18.589869,0 days 00:00:24.453690,relu,0.20166420627202822,adaptive,0.09282194901760667,2,77,98.0,0.6000000000000001,adam,COMPLETE
