,number,value,datetime_start,datetime_complete,duration,params_reg_param,state
0,0,0.5,2023-04-11 15:44:30.024061,2023-04-11 15:44:30.407463,0 days 00:00:00.383402,1,COMPLETE
1,1,0.5863257757246787,2023-04-11 15:44:30.409462,2023-04-11 15:44:30.774383,0 days 00:00:00.364921,0,COMPLETE
2,2,0.6043573432764946,2023-04-11 15:44:30.776395,2023-04-11 15:44:31.111461,0 days 00:00:00.335066,0,COMPLETE
3,3,0.5,2023-04-11 15:44:31.113477,2023-04-11 15:44:31.445478,0 days 00:00:00.332001,1,COMPLETE
4,4,0.5,2023-04-11 15:44:31.447478,2023-04-11 15:44:31.805408,0 days 00:00:00.357930,1,COMPLETE
5,5,0.5,2023-04-11 15:44:31.807410,2023-04-11 15:44:32.151437,0 days 00:00:00.344027,1,COMPLETE
6,6,0.5,2023-04-11 15:44:32.153438,2023-04-11 15:44:32.600474,0 days 00:00:00.447036,1,COMPLETE
7,7,0.5,2023-04-11 15:44:32.602473,2023-04-11 15:44:32.979444,0 days 00:00:00.376971,1,COMPLETE
8,8,0.6024203365541536,2023-04-11 15:44:32.982444,2023-04-11 15:44:33.352456,0 days 00:00:00.370012,0,COMPLETE
9,9,0.5,2023-04-11 15:44:33.354472,2023-04-11 15:44:33.728431,0 days 00:00:00.373959,1,COMPLETE
10,10,0.5886882495875616,2023-04-11 15:44:33.729434,2023-04-11 15:44:34.111421,0 days 00:00:00.381987,0,COMPLETE
11,11,0.6149374294051546,2023-04-11 15:44:34.113415,2023-04-11 15:44:34.524416,0 days 00:00:00.411001,0,COMPLETE
12,12,0.6064788465291182,2023-04-11 15:44:34.526419,2023-04-11 15:44:34.911427,0 days 00:00:00.385008,0,COMPLETE
13,13,0.6060187310553513,2023-04-11 15:44:34.913437,2023-04-11 15:44:35.284472,0 days 00:00:00.371035,0,COMPLETE
14,14,0.5863257757246787,2023-04-11 15:44:35.286474,2023-04-11 15:44:35.675873,0 days 00:00:00.389399,0,COMPLETE
15,15,0.6043573432764946,2023-04-11 15:44:35.677857,2023-04-11 15:44:36.039490,0 days 00:00:00.361633,0,COMPLETE
16,16,0.5895939278766217,2023-04-11 15:44:36.041479,2023-04-11 15:44:36.412420,0 days 00:00:00.370941,0,COMPLETE
