,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_class_weight,params_criterion,params_max_depth,params_max_features,params_max_leaf_nodes,params_n_estimators,state
0,0,0.6538955258977575,2023-04-11 15:24:52.588399,2023-04-11 15:24:57.087757,0 days 00:00:04.499358,False,2.926676457551585,entropy,10,23,5,69,COMPLETE
1,1,0.5,2023-04-11 15:24:57.089772,2023-04-11 15:25:06.077480,0 days 00:00:08.987708,False,14.492420007647977,entropy,2,1,11,312,COMPLETE
2,2,0.6414550189818473,2023-04-11 15:25:06.079478,2023-04-11 15:25:18.961838,0 days 00:00:12.882360,True,2.4794893686194825,log_loss,8,20,13,189,COMPLETE
3,3,0.5520702149158568,2023-04-11 15:25:18.963838,2023-04-11 15:25:23.191201,0 days 00:00:04.227363,True,12.59775276823546,log_loss,2,9,4,102,COMPLETE
4,4,0.6473318779798461,2023-04-11 15:25:23.193178,2023-04-11 15:25:32.112511,0 days 00:00:08.919333,False,11.039757566150133,log_loss,7,22,7,120,COMPLETE
5,5,0.6496435599393284,2023-04-11 15:25:32.114510,2023-04-11 15:25:50.833009,0 days 00:00:18.718499,True,19.26498784117168,gini,10,22,16,245,COMPLETE
6,6,0.5,2023-04-11 15:25:50.835009,2023-04-11 15:26:01.153845,0 days 00:00:10.318836,False,14.741197397605951,gini,7,7,2,328,COMPLETE
7,7,0.5432453241033036,2023-04-11 15:26:01.155870,2023-04-11 15:26:15.324735,0 days 00:00:14.168865,False,18.289077158700234,entropy,5,6,14,329,COMPLETE
8,8,0.6332497312057856,2023-04-11 15:26:15.326735,2023-04-11 15:26:41.748173,0 days 00:00:26.421438,True,2.396140418634141,entropy,25,28,12,392,COMPLETE
9,9,0.4995371424235526,2023-04-11 15:26:41.750171,2023-04-11 15:26:53.159108,0 days 00:00:11.408937,False,18.53036632658941,gini,18,9,3,327,COMPLETE
10,10,0.6941850716725697,2023-04-11 15:26:53.161106,2023-04-11 15:26:58.034002,0 days 00:00:04.872896,False,6.580135097168341,entropy,16,30,20,42,COMPLETE
11,11,0.6938069805217506,2023-04-11 15:26:58.036001,2023-04-11 15:27:01.427269,0 days 00:00:03.391268,False,6.234552599896132,entropy,16,29,20,29,COMPLETE
12,12,0.6861214226670127,2023-04-11 15:27:01.429266,2023-04-11 15:27:07.993443,0 days 00:00:06.564177,False,7.361148941246473,entropy,17,30,20,58,COMPLETE
13,13,0.6770462694184746,2023-04-11 15:27:07.996444,2023-04-11 15:27:11.122715,0 days 00:00:03.126271,False,7.411086427265812,entropy,16,27,20,27,COMPLETE
14,14,0.6971392658579065,2023-04-11 15:27:11.124697,2023-04-11 15:27:25.341722,0 days 00:00:14.217025,False,6.78951864380153,entropy,25,17,17,170,COMPLETE
15,15,0.6799722073064824,2023-04-11 15:27:25.343721,2023-04-11 15:27:36.687785,0 days 00:00:11.344064,False,5.603910528533284,entropy,32,14,17,168,COMPLETE
16,16,0.7016457291742958,2023-04-11 15:27:36.689804,2023-04-11 15:27:48.857267,0 days 00:00:12.167463,False,9.251923850253467,entropy,23,16,17,144,COMPLETE
17,17,0.6771494273606585,2023-04-11 15:27:48.860264,2023-04-11 15:28:04.645302,0 days 00:00:15.785038,False,9.458546919813895,entropy,25,16,10,231,COMPLETE
