,number,value,datetime_start,datetime_complete,duration,params_alpha,params_booster,params_colsample_bytree,params_eta,params_gamma,params_grow_policy,params_lambda,params_max_depth,params_min_child_weight,params_normalize_type,params_rate_drop,params_sample_type,params_skip_drop,params_subsample,state
0,0,0.5999797041779711,2023-04-11 16:39:45.487527,2023-04-11 16:39:48.288737,0 days 00:00:02.801210,0.16965408522686948,gbtree,0.9397464325834046,1.429991690164144e-07,0.0005145718859432297,depthwise,3.944200652067545e-08,7,4,,,,,0.8012032452880811,COMPLETE
1,1,0.595564839846016,2023-04-11 16:39:48.290738,2023-04-11 16:39:50.851942,0 days 00:00:02.561204,1.0018078593065677e-07,gbtree,0.7024276896637434,1.3675268811474863e-05,2.9725848306792354e-08,lossguide,3.142034329928666e-07,7,3,,,,,0.7801567832891487,COMPLETE
2,2,0.5,2023-04-11 16:39:50.853945,2023-04-11 16:39:52.377064,0 days 00:00:01.523119,0.05912007978202059,gbtree,0.8824927167720784,0.001551560845040125,0.0074062055542238985,depthwise,2.4457954333425055e-07,1,2,,,,,0.6835403733626008,COMPLETE
3,3,0.5654879200878293,2023-04-11 16:39:52.379065,2023-04-11 16:40:21.192373,0 days 00:00:28.813308,1.4190209689452953e-08,dart,0.852054753402119,5.039371177745569e-06,3.176556758172432e-08,depthwise,4.743244509138523e-05,2,6,tree,3.2184189023175024e-05,weighted,2.34313295160067e-05,0.3759654356667567,COMPLETE
4,4,0.6065671628850112,2023-04-11 16:40:21.195375,2023-04-11 16:40:22.870508,0 days 00:00:01.675133,8.991901581582394e-06,gbtree,0.910532171519588,0.16257596227601123,0.0004145506844019689,lossguide,2.2442125766385636e-07,3,2,,,,,0.3321490330300765,COMPLETE
5,5,0.5,2023-04-11 16:40:22.873509,2023-04-11 16:40:24.307623,0 days 00:00:01.434114,0.0023101816328685693,gbtree,0.21297239553922687,7.080650024753016e-06,0.34264787549303105,depthwise,0.0016195749080110693,2,6,,,,,0.2238710570620942,COMPLETE
6,6,0.5326326888410673,2023-04-11 16:40:24.309624,2023-04-11 16:40:26.181773,0 days 00:00:01.872149,0.011168408146675026,gbtree,0.27410400572382365,0.004264895415745059,1.2763655949242137e-07,depthwise,0.004953750006057698,6,3,,,,,0.33582745554373483,COMPLETE
7,7,0.5561541345653893,2023-04-11 16:40:26.183775,2023-04-11 16:40:27.926913,0 days 00:00:01.743138,4.3845738021571636e-07,gbtree,0.46910396382400843,2.4473111720290678e-06,7.417749297245253e-07,depthwise,0.018385075607753945,4,8,,,,,0.5224062608620745,COMPLETE
8,8,0.6057199705051434,2023-04-11 16:40:27.928914,2023-04-11 16:40:57.852312,0 days 00:00:29.923398,8.396060607311796e-05,dart,0.646839482086378,0.057196947692342494,9.39666218461809e-05,lossguide,1.9309610309747892e-08,7,5,forest,3.783515054518216e-06,uniform,1.3573742828984713e-08,0.6956505154286863,COMPLETE
9,9,0.5959085134730268,2023-04-11 16:40:57.854312,2023-04-11 16:41:00.458521,0 days 00:00:02.604209,1.5005452815417766e-07,gbtree,0.9641409301866593,1.9116869163082508e-05,1.3252662602598276e-07,lossguide,0.003985745579060926,6,5,,,,,0.680981581661807,COMPLETE
